Variable,Treatment N,Treatment Mean,Treatment SD,Control N,Control Mean,Control SD
teen_preg,17489,0.358,0.479,20694,0.334,0.472
Fir_bir_age,17489,21.383,4.016,20694,21.398,3.785
AgeofFirstMarriage,17489,19.838,4.000,20694,19.775,3.753
UnskilledManual,17489,1.037,1.282,20694,0.288,0.563
SkilledManual,17489,1.251,1.338,20694,0.767,0.952
AgricselfEmployed,17489,5.304,9.875,20694,1.675,3.080
No_education,17489,0.270,0.444,20694,0.238,0.426
Primary,17489,0.108,0.310,20694,0.098,0.298
Secondary,17489,0.484,0.500,20694,0.545,0.498
Res_age,17489,28.481,5.874,20694,28.497,5.789
Respondent_work,17465,0.156,0.363,20671,0.129,0.361
Birth_order_number,17489,2.573,1.687,20694,2.606,1.696
