Variable,Pre_Control_Mean,Pre_Control_SD,Pre_Treat_Mean,Pre_Treat_SD,Post_Control_Mean,Post_Control_SD,Post_Treat_Mean,Post_Treat_SD,DiD,DiD_tstat
teen_preg,0.350,0.477,0.380,0.485,0.294,0.456,0.297,0.457,-0.027,-2.521
Fir_bir_age,21.260,3.796,21.168,3.957,21.744,3.735,21.993,4.116,0.341,3.744
AgeofFirstMarriage,19.613,3.774,19.584,3.954,20.180,3.669,20.559,4.045,0.408,4.544
No_education,0.269,0.444,0.312,0.463,0.160,0.366,0.152,0.359,-0.050,-5.601
Primary,0.106,0.308,0.118,0.322,0.079,0.270,0.081,0.272,-0.010,-1.470
Secondary,0.521,0.500,0.450,0.498,0.604,0.489,0.578,0.494,0.045,3.956
Res_age,28.727,5.876,28.579,5.972,27.920,5.525,28.202,5.577,0.430,3.286
Respondent_work,0.135,0.376,0.166,0.372,0.114,0.318,0.127,0.333,-0.018,-2.289
Husband_age,35.700,7.684,35.407,7.879,34.141,7.085,34.101,7.181,0.253,1.495
Husband_work,0.980,0.140,0.981,0.137,0.989,0.105,0.989,0.103,-0.001,-0.247
Husband_no_education,0.164,0.371,0.191,0.393,0.117,0.321,0.121,0.326,-0.022,-2.847
Husband_primary,0.160,0.367,0.174,0.379,0.114,0.318,0.134,0.341,0.006,0.805
Husband_secondary,0.536,0.499,0.489,0.500,0.599,0.490,0.560,0.496,0.008,0.702
Poorest,0.205,0.403,0.260,0.439,0.222,0.416,0.119,0.324,-0.158,-17.917
Poorer,0.253,0.435,0.162,0.368,0.212,0.409,0.157,0.364,0.037,4.078
Middle,0.251,0.434,0.153,0.360,0.265,0.441,0.150,0.357,-0.016,-1.800
Richer,0.180,0.384,0.194,0.396,0.195,0.396,0.221,0.415,0.012,1.267
Birth_order_number,2.655,1.775,2.625,1.773,2.481,1.472,2.426,1.405,-0.025,-0.712
Religion,0.959,0.199,0.955,0.207,0.964,0.186,0.968,0.175,0.008,1.810
Terminated_birth,0.156,0.362,0.155,0.362,0.207,0.405,0.190,0.393,-0.017,-1.817
