
="",="(1)",="(2)"
="",="Age of First Marriage",="Fir_bir_age"

="past_group",="2.223***",="2.400***"
="",="(0.115)",="(0.119)"

="TC_noborder",="-0.893***",="-1.012***"
="",="(0.119)",="(0.118)"

="Poorest",="-1.658***",="-1.523***"
="",="(0.111)",="(0.116)"

="Poorer",="-1.276***",="-1.206***"
="",="(0.108)",="(0.112)"

="Middle",="-0.965***",="-0.898***"
="",="(0.100)",="(0.108)"

="Richer",="-0.462***",="-0.442***"
="",="(0.089)",="(0.092)"

="Respondent_work",="0.305***",="0.210***"
="",="(0.071)",="(0.071)"

="women_no_edu",="-3.452***",="-3.106***"
="",="(0.110)",="(0.114)"

="women_primary_edu",="-3.281***",="-3.014***"
="",="(0.115)",="(0.124)"

="women_secondary_edu",="-2.029***",="-1.931***"
="",="(0.083)",="(0.089)"

="Husband_work",="-0.204",="-0.470*"
="",="(0.225)",="(0.265)"

="Husband_no_education",="-0.336***",="-0.222*"
="",="(0.114)",="(0.114)"

="Husband_primary",="-0.298***",="-0.259***"
="",="(0.093)",="(0.097)"

="Husband_secondary",="-0.109",="-0.103"
="",="(0.076)",="(0.078)"

="Husband_age",="-0.076***",="-0.055***"
="",="(0.005)",="(0.005)"

="Religion",="-0.337**",="-0.355**"
="",="(0.157)",="(0.147)"

="Constant",="26.432***",="27.322***"
="",="(0.374)",="(0.382)"

="Observations",="37762",="37762"
="Adjusted R-squared",="0.337",="0.330"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
