
="",="(1)",="(2)",="(3)",="(4)"
="",="women_no_edu",="women_primary_edu",="women_secondary_edu",="women_post_secondary_edu"

="past_group",="-0.012",="0.000",="-0.029**",="0.041***"
="",="(0.011)",="(0.008)",="(0.013)",="(0.009)"

="TC_noborder",="0.040***",="0.024***",="-0.022**",="-0.042***"
="",="(0.010)",="(0.007)",="(0.011)",="(0.006)"

="Poorest",="0.349***",="0.063***",="-0.205***",="-0.207***"
="",="(0.012)",="(0.010)",="(0.016)",="(0.010)"

="Poorer",="0.237***",="0.080***",="-0.110***",="-0.206***"
="",="(0.011)",="(0.009)",="(0.015)",="(0.010)"

="Middle",="0.130***",="0.045***",="0.010",="-0.185***"
="",="(0.009)",="(0.008)",="(0.014)",="(0.010)"

="Richer",="0.050***",="0.028***",="0.041***",="-0.119***"
="",="(0.007)",="(0.007)",="(0.012)",="(0.010)"

="Respondent_work",="-0.028***",="-0.019***",="-0.088***",="0.135***"
="",="(0.007)",="(0.005)",="(0.012)",="(0.010)"

="Husband_work",="-0.037*",="-0.004",="0.040",="0.000"
="",="(0.021)",="(0.019)",="(0.026)",="(0.017)"

="Husband_no_education",="0.419***",="0.066***",="-0.061***",="-0.423***"
="",="(0.011)",="(0.009)",="(0.015)",="(0.011)"

="Husband_primary",="0.211***",="0.196***",="0.033**",="-0.440***"
="",="(0.011)",="(0.009)",="(0.015)",="(0.011)"

="Husband_secondary",="0.061***",="0.049***",="0.293***",="-0.403***"
="",="(0.006)",="(0.005)",="(0.012)",="(0.011)"

="Husband_age",="-0.001*",="0.001*",="0.002***",="-0.002***"
="",="(0.001)",="(0.000)",="(0.001)",="(0.000)"

="Religion",="-0.010",="0.030***",="-0.012",="-0.008"
="",="(0.016)",="(0.011)",="(0.018)",="(0.010)"

="Constant",="0.027",="-0.064**",="0.346***",="0.690***"
="",="(0.032)",="(0.027)",="(0.040)",="(0.025)"

="Observations",="37762",="37762",="37762",="37762"
="Adjusted R-squared",="0.367",="0.098",="0.252",="0.418"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
