="Teen Pregnancy – Logit Marginal Effects"
="",="(1)",="",=""
="",="",="",=""
="",="ME",="SE",="P"
="past_group",=".1045246",=".0130607",="1.11e-15"
="TC_noborder",=".0224692",=".0107391",=".0364129"
="Poorest",=".1483017",=".0153567",="0"
="Poorer",=".1190132",=".0149571",="1.78e-15"
="Middle",=".1137696",=".0146854",="9.33e-15"
="Richer",=".0639153",=".0137755",="3.49e-06"
="Respondent_work",="-.0728187",=".0104156",="2.72e-12"
="women_no_edu",=".3976726",=".0242998",="0"
="women_primary_edu",=".4276897",=".0246162",="0"
="women_secondary_edu",=".3785712",=".0226026",="0"
="Husband_work",=".0218883",=".0271942",=".4208832"
="Husband_no_education",=".0326806",=".01683",=".0521601"
="Husband_primary",=".0266591",=".0152324",=".0800901"
="Husband_secondary",=".0248717",=".0132745",=".0609796"
="Husband_age",="-.0158805",=".0006446",="0"
="Religion",=".0521959",=".0192197",=".0066127"
="N",="37151",="",=""
