="Teen Pregnancy – Logit Marginal Effects"
="",="(1)",="",=""
="",="",="",=""
="",="ME",="SE",="P"
="past_group",=".2062982",=".0172163",="0"
="TC_noborder",="-.0464707",=".0159284",=".0035289"
="Poorest",=".0212676",=".0136624",=".1195535"
="Poorer",=".0155916",=".0130284",=".231407"
="Middle",=".0212305",=".0123099",=".0845871"
="Richer",=".0150811",=".010696",=".1585483"
="Respondent_work",="-.0082829",=".0083666",=".3221771"
="No_education",=".1579264",=".0167187",="0"
="Primary",=".1798877",=".0165168",="0"
="Secondary",=".1512452",=".0150246",="0"
="Res_age",="-.0755605",=".000714",="0"
="Husband_work",=".0278245",=".0205279",=".1752747"
="Husband_no_education",=".0367893",=".0121357",=".0024334"
="Husband_primary",=".0387019",=".0115986",=".0008476"
="Husband_secondary",=".0340397",=".0094911",=".0003352"
="Husband_age",=".0039725",=".0006229",="1.80e-10"
="Birth_order_number",=".0979293",=".0033838",="0"
="Religion",=".0354913",=".0147295",=".015973"
="N",="37151",="",=""
