
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="teen_preg",="teen_preg",="teen_preg",="teen_preg",="teen_preg",="teen_preg"

="past_group",="-0.238***",="-0.205***",="-0.048***",="-0.245***",="-0.049***",="-0.095***"
="",="(0.014)",="(0.013)",="(0.012)",="(0.014)",="(0.013)",="(0.011)"

="TC_noborder",="0.116***",="0.134***",="0.061***",="0.119***",="0.062***",="0.067***"
="",="(0.016)",="(0.013)",="(0.010)",="(0.015)",="(0.010)",="(0.008)"

="Poorest",="",="0.340***",="0.143***",="",="0.143***",="0.033***"
="",="",="(0.013)",="(0.013)",="",="(0.013)",="(0.012)"

="Poorer",="",="0.271***",="0.099***",="",="0.099***",="0.026**"
="",="",="(0.013)",="(0.013)",="",="(0.013)",="(0.011)"

="Middle",="",="0.196***",="0.072***",="",="0.071***",="0.014"
="",="",="(0.012)",="(0.012)",="",="(0.012)",="(0.010)"

="Richer",="",="0.101***",="0.027***",="",="0.026***",="-0.005"
="",="",="(0.010)",="(0.010)",="",="(0.010)",="(0.009)"

="Respondent_work",="",="",="0.005",="",="0.005",="0.020***"
="",="",="",="(0.008)",="",="(0.008)",="(0.007)"

="No_education",="",="",="0.336***",="",="0.335***",="0.186***"
="",="",="",="(0.011)",="",="(0.011)",="(0.012)"

="Primary",="",="",="0.340***",="",="0.340***",="0.203***"
="",="",="",="(0.013)",="",="(0.013)",="(0.013)"

="Secondary",="",="",="0.186***",="",="0.185***",="0.105***"
="",="",="",="(0.007)",="",="(0.007)",="(0.008)"

="Res_age",="",="",="-0.027***",="",="-0.027***",="-0.054***"
="",="",="",="(0.001)",="",="(0.001)",="(0.001)"

="Husband_work",="",="",="",="0.027",="",="0.014"
="",="",="",="",="(0.027)",="",="(0.023)"

="Husband_no_education",="",="",="",="0.287***",="",="0.029**"
="",="",="",="",="(0.013)",="",="(0.013)"

="Husband_primary",="",="",="",="0.254***",="",="0.035***"
="",="",="",="",="(0.011)",="",="(0.012)"

="Husband_secondary",="",="",="",="0.158***",="",="0.023***"
="",="",="",="",="(0.008)",="",="(0.009)"

="Husband_age",="",="",="",="0.006***",="",="0.007***"
="",="",="",="",="(0.001)",="",="(0.001)"

="Religion",="",="",="",="",="0.042**",="0.004"
="",="",="",="",="",="(0.017)",="(0.015)"

="Birth_order_number",="",="",="",="",="",="0.153***"
="",="",="",="",="",="",="(0.002)"

="Constant",="0.316***",="0.120***",="0.809***",="-0.081**",="0.772***",="1.043***"
="",="(0.006)",="(0.010)",="(0.037)",="(0.037)",="(0.040)",="(0.042)"

="Observations",="38165",="38165",="38118",="37839",="38087",="37762"
="Adjusted R-squared",="0.155",="0.194",="0.253",="0.192",="0.254",="0.401"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
