
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Age of First Marriage",="Age of First Marriage",="Age of First Marriage",="Age of First Marriage",="Age of First Marriage"

="past_group",="0.564",="0.420",="0.470",="0.613*",="0.444"
="",="(0.357)",="(0.333)",="(0.360)",="(0.322)",="(0.331)"

="TC_noborder",="-0.594***",="-0.445**",="-0.573**",="-0.460**",="-0.351"
="",="(0.218)",="(0.210)",="(0.234)",="(0.200)",="(0.229)"

="Poorest",="-1.168***",="-0.949**",="-1.160**",="-0.826**",="-0.884**"
="",="(0.435)",="(0.375)",="(0.464)",="(0.346)",="(0.369)"

="Poorer",="-0.927**",="-0.741*",="-0.905**",="-0.663*",="-0.701*"
="",="(0.432)",="(0.394)",="(0.457)",="(0.363)",="(0.375)"

="Middle",="-0.675",="-0.593",="-0.630",="-0.534",="-0.562"
="",="(0.422)",="(0.361)",="(0.444)",="(0.334)",="(0.351)"

="Richer",="-0.888**",="-0.866**",="-0.809*",="-0.764**",="-0.722**"
="",="(0.434)",="(0.377)",="(0.461)",="(0.347)",="(0.363)"

="Respondent_work",="-0.362",="-0.317",="-0.372",="-0.260",="-0.262"
="",="(0.290)",="(0.290)",="(0.290)",="(0.247)",="(0.256)"

="no_edu",="",="0.141",="",="0.264",="0.426"
="",="",="(0.976)",="",="(0.889)",="(0.912)"

="primary_edu",="",="0.201",="",="0.224",="0.389"
="",="",="(0.993)",="",="(0.909)",="(0.883)"

="secondary_edu",="",="0.675",="",="0.727",="0.974"
="",="",="(0.964)",="",="(0.876)",="(0.905)"

="Res_age",="",="0.355**",="",="0.418***",="0.444***"
="",="",="(0.169)",="",="(0.160)",="(0.153)"

="Husband_work",="",="",="-0.324",="",="-0.354"
="",="",="",="(0.365)",="",="(0.371)"

="Husband_no_education",="",="",="-0.366",="",="-0.173"
="",="",="",="(0.591)",="",="(0.490)"

="Husband_primary",="",="",="-0.656",="",="-0.410"
="",="",="",="(0.548)",="",="(0.438)"

="Husband_secondary",="",="",="-0.662",="",="-0.574"
="",="",="",="(0.581)",="",="(0.476)"

="Husband_age",="",="",="-0.033***",="",="-0.033***"
="",="",="",="(0.012)",="",="(0.011)"

="Birth_order_number",="",="",="",="-0.706***",="-0.676***"
="",="",="",="",="(0.072)",="(0.067)"

="Religion",="",="",="",="0.420",="0.402"
="",="",="",="",="(0.555)",="(0.516)"

="Constant",="16.857***",="9.702***",="18.618***",="8.790***",="9.778***"
="",="(0.399)",="(3.339)",="(0.889)",="(3.177)",="(3.005)"

="Observations",="840",="840",="826",="840",="826"
="Adjusted R-squared",="0.436",="0.461",="0.450",="0.503",="0.520"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
