
="",="(1)",="(2)",="(3)"
="",="unskill_manual",="skill_manual",="agr_self_employed"

="past_group",="-0.392***",="-0.252*",="-0.000"
="",="(0.111)",="(0.138)",="(0.120)"

="TC_noborder",="0.437***",="0.215***",="0.146*"
="",="(0.064)",="(0.077)",="(0.083)"

="Poorest",="0.112",="0.029",="0.266***"
="",="(0.109)",="(0.116)",="(0.098)"

="Poorer",="0.027",="0.009",="0.183*"
="",="(0.104)",="(0.121)",="(0.097)"

="Middle",="-0.004",="-0.039",="0.126"
="",="(0.105)",="(0.122)",="(0.098)"

="Richer",="0.021",="-0.041",="0.013"
="",="(0.110)",="(0.128)",="(0.104)"

="Respondent_work",="0.066",="-0.044",="0.084"
="",="(0.068)",="(0.084)",="(0.096)"

="no_edu",="-0.067",="0.366***",="0.213"
="",="(0.212)",="(0.116)",="(0.149)"

="primary_edu",="-0.066",="0.264**",="0.113"
="",="(0.215)",="(0.125)",="(0.147)"

="secondary_edu",="-0.032",="0.289**",="0.164"
="",="(0.209)",="(0.117)",="(0.138)"

="Res_age",="0.010",="-0.048",="-0.073**"
="",="(0.023)",="(0.042)",="(0.034)"

="Husband_work",="-0.064",="0.016",="-0.088"
="",="(0.096)",="(0.105)",="(0.120)"

="Husband_no_education",="0.122*",="-0.047",="0.058"
="",="(0.074)",="(0.101)",="(0.093)"

="Husband_primary",="0.093",="-0.056",="0.182**"
="",="(0.081)",="(0.093)",="(0.092)"

="Husband_secondary",="0.091",="-0.064",="0.093"
="",="(0.068)",="(0.086)",="(0.075)"

="Husband_age",="0.004",="0.003",="0.007***"
="",="(0.002)",="(0.004)",="(0.003)"

="Birth_order_number",="0.005",="-0.048*",="-0.042"
="",="(0.037)",="(0.029)",="(0.032)"

="Religion",="0.099*",="-0.141",="-0.106"
="",="(0.057)",="(0.136)",="(0.100)"

="Constant",="-0.353",="0.901",="1.216*"
="",="(0.509)",="(0.844)",="(0.654)"

="Observations",="826",="826",="826"
="Adjusted R-squared",="0.508",="0.284",="0.496"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
