
="",="(1)",="(2)",="(3)",="(4)"
="",="no_edu",="primary_edu",="secondary_edu",="postsecondaty_edu"

="past_group",="-0.091",="-0.161",="0.308*",="-0.057"
="",="(0.139)",="(0.146)",="(0.186)",="(0.046)"

="TC_noborder",="0.148*",="0.054",="-0.279***",="0.078"
="",="(0.083)",="(0.059)",="(0.086)",="(0.048)"

="Respondent_work",="0.207*",="-0.094",="-0.108",="-0.005"
="",="(0.110)",="(0.062)",="(0.104)",="(0.014)"

="Res_age",="0.010",="0.008",="-0.027",="0.009"
="",="(0.040)",="(0.033)",="(0.046)",="(0.013)"

="Husband_work",="-0.093",="0.022",="0.047",="0.023"
="",="(0.194)",="(0.171)",="(0.129)",="(0.036)"

="Husband_no_education",="0.432***",="0.290***",="-0.526***",="-0.196**"
="",="(0.104)",="(0.094)",="(0.130)",="(0.083)"

="Husband_primary",="0.334***",="0.292***",="-0.451***",="-0.175**"
="",="(0.106)",="(0.098)",="(0.129)",="(0.085)"

="Husband_secondary",="0.165*",="0.160*",="-0.140",="-0.185**"
="",="(0.088)",="(0.087)",="(0.121)",="(0.082)"

="Husband_age",="0.002",="0.000",="-0.002",="-0.001"
="",="(0.004)",="(0.003)",="(0.005)",="(0.001)"

="Birth_order_number",="0.083***",="-0.011",="-0.066**",="-0.006"
="",="(0.031)",="(0.024)",="(0.026)",="(0.007)"

="Religion",="-0.028",="0.029",="-0.021",="0.020"
="",="(0.143)",="(0.075)",="(0.158)",="(0.017)"

="Constant",="-0.257",="-0.251",="1.517",="-0.008"
="",="(0.821)",="(0.661)",="(0.924)",="(0.269)"

="Observations",="826",="826",="826",="826"
="Adjusted R-squared",="0.417",="0.352",="0.402",="0.422"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
