="Panel A: Treatment Effect on Having Any Education - ALL WOMEN"
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Spec 1",="Spec 2",="Spec 3",="Spec 4",="Spec 5"
="",="b/se/p/t",="b/se/p/t",="b/se/p/t",="b/se/p/t",="b/se/p/t"
="past_group",="0.0141",="-0.0161",="0.0122",="-0.0045",="-0.0094"
="",="(0.0120)",="(0.0128)",="(0.0107)",="(0.0126)",="(0.0115)"
="",="0.2395",="0.2065",="0.2544",="0.7194",="0.4118"
="",="1.1767",="-1.2640",="1.1402",="-0.3594",="-0.8210"
="TC_noborder",="-0.0573***",="-0.0473***",="-0.0405***",="-0.0470***",="-0.0306**"
="",="(0.0111)",="(0.0112)",="(0.0096)",="(0.0108)",="(0.0094)"
="",="0.0000",="0.0000",="0.0000",="0.0000",="0.0012"
="",="-5.1479",="-4.2313",="-4.2288",="-4.3537",="-3.2433"
="Poorest",="-0.5200***",="-0.5147***",="-0.3499***",="-0.4762***",="-0.3216***"
="",="(0.0128)",="(0.0127)",="(0.0124)",="(0.0127)",="(0.0122)"
="",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000"
="",="-40.5631",="-40.6611",="-28.2130",="-37.4812",="-26.3062"
="Poorer",="-0.3594***",="-0.3543***",="-0.2363***",="-0.3269***",="-0.2158***"
="",="(0.0116)",="(0.0116)",="(0.0109)",="(0.0114)",="(0.0107)"
="",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000"
="",="-31.0031",="-30.6323",="-21.6579",="-28.7817",="-20.1519"
="Middle",="-0.2153***",="-0.2120***",="-0.1301***",="-0.1912***",="-0.1150***"
="",="(0.0098)",="(0.0097)",="(0.0090)",="(0.0093)",="(0.0086)"
="",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000"
="",="-21.9941",="-21.9316",="-14.5385",="-20.4604",="-13.4024"
="Richer",="-0.1040***",="-0.1024***",="-0.0499***",="-0.0907***",="-0.0417***"
="",="(0.0077)",="(0.0077)",="(0.0069)",="(0.0075)",="(0.0068)"
="",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000"
="",="-13.4653",="-13.2566",="-7.1964",="-12.1259",="-6.1580"
="Respondent_work",="0.0457***",="0.0443***",="0.0280***",="0.0379***",="0.0229***"
="",="(0.0072)",="(0.0072)",="(0.0068)",="(0.0071)",="(0.0068)"
="",="0.0000",="0.0000",="0.0000",="0.0000",="0.0008"
="",="6.3308",="6.1353",="4.1166",="5.3026",="3.3459"
="Res_age",="",="0.0057***",="",="0.0103***",="0.0091***"
="",="",="(0.0013)",="",="(0.0013)",="(0.0012)"
="",="",="0.0000",="",="0.0000",="0.0000"
="",="",="4.2833",="",="7.8757",="7.3301"
="Husband_work",="",="",="0.0347",="",="0.0406"
="",="",="",="(0.0210)",="",="(0.0208)"
="",="",="",="0.0980",="",="0.0508"
="",="",="",="1.6560",="",="1.9550"
="Husband_no_education",="",="",="-0.4180***",="",="-0.4073***"
="",="",="",="(0.0108)",="",="(0.0109)"
="",="",="",="0.0000",="",="0.0000"
="",="",="",="-38.7580",="",="-37.2950"
="Husband_primary",="",="",="-0.2112***",="",="-0.2022***"
="",="",="",="(0.0107)",="",="(0.0107)"
="",="",="",="0.0000",="",="0.0000"
="",="",="",="-19.7417",="",="-18.9722"
="Husband_secondary",="",="",="-0.0609***",="",="-0.0556***"
="",="",="",="(0.0056)",="",="(0.0055)"
="",="",="",="0.0000",="",="0.0000"
="",="",="",="-10.9178",="",="-10.0354"
="Husband_age",="",="",="0.0010",="",="0.0007"
="",="",="",="(0.0005)",="",="(0.0005)"
="",="",="",="0.0569",="",="0.1522"
="",="",="",="1.9060",="",="1.4328"
="Birth_order_number",="",="",="",="-0.0353***",="-0.0253***"
="",="",="",="",="(0.0023)",="(0.0022)"
="",="",="",="",="0.0000",="0.0000"
="",="",="",="",="-15.2431",="-11.5242"
="Religion",="",="",="",="0.0142",="0.0132"
="",="",="",="",="(0.0171)",="(0.0156)"
="",="",="",="",="0.4062",="0.3991"
="",="",="",="",="0.8309",="0.8435"
="_cons",="1.0135***",="0.8489***",="0.9838***",="0.7713***",="0.7562***"
="",="(0.0085)",="(0.0384)",="(0.0289)",="(0.0401)",="(0.0435)"
="",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000"
="",="119.7027",="22.1213",="34.0026",="19.2342",="17.3973"
="Observations",="38118",="38118",="37793",="38087",="37762"
="R-squared",="0.3100",="0.3112",="0.3877",="0.3195",="0.3934"
="Adjusted R-squared",="0.2862",="0.2874",="0.3664",="0.2960",="0.3721"
="Cells: Coefficient (starred) | SE (parentheses) | p-value | t-statistic"
="*** p<0.01, ** p<0.05, * p<0.10"
="Sample: ALL WOMEN (not restricted to teen pregnancy)"
