="Panel B: Treatment Effects on Education Levels - ALL WOMEN"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="No Edu",="Primary",="Secondary",="Postsecondary",="Primary+",="Secondary+"
="",="b/se/p/t",="b/se/p/t",="b/se/p/t",="b/se/p/t",="b/se/p/t",="b/se/p/t"
="past_group",="0.0094",="0.0003",="-0.0184",="0.0087",="-0.0094",="-0.0097"
="",="(0.0115)",="(0.0086)",="(0.0138)",="(0.0091)",="(0.0115)",="(0.0116)"
="",="0.4118",="0.9759",="0.1815",="0.3379",="0.4118",="0.4051"
="",="0.8210",="0.0302",="-1.3370",="0.9588",="-0.8210",="-0.8329"
="TC_noborder",="0.0306**",="0.0231***",="-0.0246*",="-0.0291***",="-0.0306**",="-0.0537***"
="",="(0.0094)",="(0.0070)",="(0.0108)",="(0.0062)",="(0.0094)",="(0.0093)"
="",="0.0012",="0.0009",="0.0225",="0.0000",="0.0012",="0.0000"
="",="3.2433",="3.3192",="-2.2851",="-4.6855",="-3.2433",="-5.8012"
="Poorest",="0.3216***",="0.0525***",="-0.1921***",="-0.1820***",="-0.3216***",="-0.3740***"
="",="(0.0122)",="(0.0101)",="(0.0159)",="(0.0100)",="(0.0122)",="(0.0130)"
="",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000"
="",="26.3062",="5.2101",="-12.0948",="-18.1425",="-26.3062",="-28.7080"
="Poorer",="0.2158***",="0.0721***",="-0.1008***",="-0.1871***",="-0.2158***",="-0.2879***"
="",="(0.0107)",="(0.0089)",="(0.0151)",="(0.0101)",="(0.0107)",="(0.0118)"
="",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000"
="",="20.1519",="8.0642",="-6.6635",="-18.5894",="-20.1519",="-24.3371"
="Middle",="0.1150***",="0.0395***",="0.0168",="-0.1713***",="-0.1150***",="-0.1545***"
="",="(0.0086)",="(0.0079)",="(0.0138)",="(0.0101)",="(0.0086)",="(0.0102)"
="",="0.0000",="0.0000",="0.2258",="0.0000",="0.0000",="0.0000"
="",="13.4024",="5.0325",="1.2118",="-17.0072",="-13.4024",="-15.1252"
