="Panel C: Treatment Effect on Professional Employment - ALL WOMEN"
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Spec 1",="Spec 2",="Spec 3",="Spec 4",="Spec 5"
="",="b/se/p/t",="b/se/p/t",="b/se/p/t",="b/se/p/t",="b/se/p/t"
="past_group",="0.0142*",="-0.0095",="0.0143*",="-0.0067",="-0.0079"
="",="(0.0068)",="(0.0067)",="(0.0063)",="(0.0068)",="(0.0068)"
="",="0.0361",="0.1534",="0.0222",="0.3239",="0.2422"
="",="2.0976",="-1.4285",="2.2902",="-0.9870",="-1.1701"
="TC_noborder",="-0.0265***",="-0.0030",="-0.0192***",="-0.0035",="-0.0025"
="",="(0.0056)",="(0.0051)",="(0.0055)",="(0.0051)",="(0.0052)"
="",="0.0000",="0.5584",="0.0004",="0.4908",="0.6279"
="",="-4.7260",="-0.5854",="-3.5188",="-0.6892",="-0.4848"
="Poorest",="-0.1701***",="-0.0273***",="-0.0858***",="-0.0217**",="-0.0108"
="",="(0.0082)",="(0.0077)",="(0.0083)",="(0.0077)",="(0.0079)"
="",="0.0000",="0.0004",="0.0000",="0.0050",="0.1735"
="",="-20.7808",="-3.5318",="-10.3379",="-2.8110",="-1.3619"
="Poorer",="-0.1492***",="-0.0167*",="-0.0727***",="-0.0129",="-0.0026"
="",="(0.0082)",="(0.0079)",="(0.0083)",="(0.0078)",="(0.0080)"
="",="0.0000",="0.0340",="0.0000",="0.1015",="0.7464"
="",="-18.1477",="-2.1230",="-8.7259",="-1.6391",="-0.3235"
="Middle",="-0.1179***",="-0.0093",="-0.0554***",="-0.0063",="0.0024"
="",="(0.0087)",="(0.0081)",="(0.0087)",="(0.0081)",="(0.0083)"
="",="0.0000",="0.2547",="0.0000",="0.4412",="0.7686"
="",="-13.6277",="-1.1394",="-6.3532",="-0.7704",="0.2943"
="Richer",="-0.0726***",="-0.0020",="-0.0278***",="-0.0004",="0.0074"
="",="(0.0083)",="(0.0076)",="(0.0083)",="(0.0076)",="(0.0078)"
="",="0.0000",="0.7902",="0.0008",="0.9588",="0.3401"
="",="-8.7745",="-0.2661",="-3.3530",="-0.0517",="0.9544"
="no_edu",="",="-0.3266***",="",="-0.3200***",="-0.2815***"
="",="",="(0.0105)",="",="(0.0105)",="(0.0113)"
="",="",="0.0000",="",="0.0000",="0.0000"
="",="",="-31.1809",="",="-30.5535",="-24.8997"
="primary_edu",="",="-0.3202***",="",="-0.3142***",="-0.2765***"
="",="",="(0.0105)",="",="(0.0105)",="(0.0114)"
="",="",="0.0000",="",="0.0000",="0.0000"
="",="",="-30.3871",="",="-29.8193",="-24.2080"
="secondary_edu",="",="-0.2786***",="",="-0.2752***",="-0.2457***"
="",="",="(0.0101)",="",="(0.0101)",="(0.0107)"
="",="",="0.0000",="",="0.0000",="0.0000"
="",="",="-27.5581",="",="-27.2407",="-22.8893"
="Res_age",="",="0.0019**",="",="0.0029***",="0.0036***"
="",="",="(0.0007)",="",="(0.0007)",="(0.0007)"
="",="",="0.0065",="",="0.0000",="0.0000"
="",="",="2.7265",="",="4.1981",="4.9822"
="Husband_work",="",="",="0.0063",="",="0.0057"
="",="",="",="(0.0122)",="",="(0.0114)"
="",="",="",="0.6067",="",="0.6188"
="",="",="",="0.5150",="",="0.4977"
="Husband_no_education",="",="",="-0.1977***",="",="-0.0678***"
="",="",="",="(0.0092)",="",="(0.0087)"
="",="",="",="0.0000",="",="0.0000"
="",="",="",="-21.5969",="",="-7.8038"
="Husband_primary",="",="",="-0.1987***",="",="-0.0682***"
="",="",="",="(0.0092)",="",="(0.0089)"
="",="",="",="0.0000",="",="0.0000"
="",="",="",="-21.5658",="",="-7.6688"
="Husband_secondary",="",="",="-0.1685***",="",="-0.0586***"
="",="",="",="(0.0092)",="",="(0.0088)"
="",="",="",="0.0000",="",="0.0000"
="",="",="",="-18.3766",="",="-6.6487"
="Husband_age",="",="",="-0.0010***",="",="-0.0008**"
="",="",="",="(0.0003)",="",="(0.0002)"
="",="",="",="0.0001",="",="0.0022"
="",="",="",="-3.8223",="",="-3.0724"
="Birth_order_number",="",="",="",="-0.0078***",="-0.0072***"
="",="",="",="",="(0.0011)",="(0.0011)"
="",="",="",="",="0.0000",="0.0000"
="",="",="",="",="-6.7944",="-6.3301"
="Religion",="",="",="",="-0.0040",="-0.0056"
="",="",="",="",="(0.0095)",="(0.0095)"
="",="",="",="",="0.6722",="0.5568"
="",="",="",="",="-0.4232",="-0.5877"
="_cons",="0.1798***",="0.2837***",="0.3020***",="0.2699***",="0.2874***"
="",="(0.0070)",="(0.0229)",="(0.0179)",="(0.0247)",="(0.0270)"
="",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000"
="",="25.8427",="12.3835",="16.8378",="10.9455",="10.6276"
="Observations",="38163",="38163",="37837",="38132",="37806"
="R-squared",="0.1251",="0.2478",="0.1810",="0.2490",="0.2552"
="Adjusted R-squared",="0.0950",="0.2219",="0.1524",="0.2230",="0.2291"
="Cells: Coefficient (starred) | SE (parentheses) | p-value | t-statistic"
="*** p<0.01, ** p<0.05, * p<0.10"
="Sample: ALL WOMEN"
