="Panel C: Treatment Effect on Secondary Education - ALL WOMEN"
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Spec 1",="Spec 2",="Spec 3",="Spec 4",="Spec 5"
="",="b/se/p/t",="b/se/p/t",="b/se/p/t",="b/se/p/t",="b/se/p/t"
="past_group",="-0.0301*",="-0.0252",="-0.0290*",="-0.0194",="-0.0184"
="",="(0.0139)",="(0.0145)",="(0.0131)",="(0.0146)",="(0.0138)"
="",="0.0301",="0.0836",="0.0274",="0.1839",="0.1815"
="",="-2.1714",="-1.7317",="-2.2083",="-1.3295",="-1.3370"
="TC_noborder",="-0.0290*",="-0.0307*",="-0.0228*",="-0.0303*",="-0.0246*"
="",="(0.0118)",="(0.0123)",="(0.0105)",="(0.0122)",="(0.0108)"
="",="0.0141",="0.0131",="0.0297",="0.0131",="0.0225"
="",="-2.4577",="-2.4848",="-2.1766",="-2.4844",="-2.2851"
="Poorest",="-0.2502***",="-0.2511***",="-0.2053***",="-0.2306***",="-0.1921***"
="",="(0.0151)",="(0.0152)",="(0.0157)",="(0.0156)",="(0.0159)"
="",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000"
="",="-16.5243",="-16.5537",="-13.0745",="-14.7754",="-12.0948"
="Poorer",="-0.1182***",="-0.1190***",="-0.1102***",="-0.1037***",="-0.1008***"
="",="(0.0152)",="(0.0152)",="(0.0151)",="(0.0153)",="(0.0151)"
="",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000"
="",="-7.7637",="-7.8377",="-7.2759",="-6.7641",="-6.6635"
="Middle",="0.0252",="0.0246",="0.0098",="0.0362*",="0.0168"
="",="(0.0148)",="(0.0147)",="(0.0139)",="(0.0147)",="(0.0138)"
="",="0.0891",="0.0940",="0.4831",="0.0138",="0.2258"
="",="1.7015",="1.6760",="0.7015",="2.4653",="1.2118"
="Richer",="0.0575***",="0.0572***",="0.0408***",="0.0632***",="0.0443***"
="",="(0.0127)",="(0.0126)",="(0.0122)",="(0.0127)",="(0.0122)"
="",="0.0000",="0.0000",="0.0008",="0.0000",="0.0003"
="",="4.5405",="4.5303",="3.3584",="4.9809",="3.6486"
="Respondent_work",="-0.1149***",="-0.1146***",="-0.0875***",="-0.1181***",="-0.0893***"
="",="(0.0128)",="(0.0128)",="(0.0121)",="(0.0129)",="(0.0122)"
="",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000"
="",="-8.9896",="-8.9640",="-7.2483",="-9.1187",="-7.3400"
="Res_age",="",="-0.0009",="",="0.0016",="0.0005"
="",="",="(0.0016)",="",="(0.0017)",="(0.0016)"
="",="",="0.5751",="",="0.3472",="0.7732"
="",="",="-0.5607",="",="0.9405",="0.2882"
="Husband_work",="",="",="0.0431",="",="0.0458"
="",="",="",="(0.0257)",="",="(0.0258)"
="",="",="",="0.0939",="",="0.0763"
="",="",="",="1.6765",="",="1.7741"
="Husband_no_education",="",="",="-0.0615***",="",="-0.0546***"
="",="",="",="(0.0154)",="",="(0.0156)"
="",="",="",="0.0001",="",="0.0005"
="",="",="",="-4.0036",="",="-3.5128"
="Husband_primary",="",="",="0.0328*",="",="0.0379*"
="",="",="",="(0.0153)",="",="(0.0154)"
="",="",="",="0.0328",="",="0.0139"
="",="",="",="2.1372",="",="2.4635"
="Husband_secondary",="",="",="0.2930***",="",="0.2960***"
="",="",="",="(0.0123)",="",="(0.0124)"
="",="",="",="0.0000",="",="0.0000"
="",="",="",="23.7700",="",="23.9305"
="Husband_age",="",="",="0.0019***",="",="0.0027***"
="",="",="",="(0.0006)",="",="(0.0006)"
="",="",="",="0.0007",="",="0.0000"
="",="",="",="3.3842",="",="4.4644"
="Birth_order_number",="",="",="",="-0.0183***",="-0.0155***"
="",="",="",="",="(0.0027)",="(0.0026)"
="",="",="",="",="0.0000",="0.0000"
="",="",="",="",="-6.8514",="-6.0332"
="Religion",="",="",="",="-0.0222",="-0.0079"
="",="",="",="",="(0.0194)",="(0.0179)"
="",="",="",="",="0.2536",="0.6614"
="",="",="",="",="-1.1422",="-0.4381"
="_cons",="0.6022***",="0.6291***",="0.3327***",="0.6144***",="0.3272***"
="",="(0.0118)",="(0.0489)",="(0.0359)",="(0.0524)",="(0.0537)"
="",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000"
="",="51.0727",="12.8594",="9.2650",="11.7308",="6.0927"
="Observations",="38118",="38118",="37793",="38087",="37762"
="R-squared",="0.1963",="0.1963",="0.2774",="0.1981",="0.2787"
="Adjusted R-squared",="0.1686",="0.1686",="0.2522",="0.1704",="0.2534"
="Cells: Coefficient (starred) | SE (parentheses) | p-value | t-statistic"
="*** p<0.01, ** p<0.05, * p<0.10"
="Sample: ALL WOMEN"
