="Panel B: Treatment Effects on Education Levels - Teen Pregnancies"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="No Edu",="Primary",="Secondary",="Postsecondary",="Primary+",="Secondary+"
="",="b/se/p/t",="b/se/p/t",="b/se/p/t",="b/se/p/t",="b/se/p/t",="b/se/p/t"
="past_group",="-0.0361",="-0.0021",="0.0459",="-0.0076",="0.0361",="0.0382"
="",="(0.0217)",="(0.0190)",="(0.0243)",="(0.0058)",="(0.0217)",="(0.0240)"
="",="0.0962",="0.9102",="0.0598",="0.1903",="0.0962",="0.1120"
="",="-1.6652",="-0.1128",="1.8847",="-1.3107",="1.6652",="1.5905"
="TC_noborder",="0.0534***",="0.0488***",="-0.1087***",="0.0065",="-0.0534***",="-0.1022***"
="",="(0.0155)",="(0.0134)",="(0.0156)",="(0.0045)",="(0.0155)",="(0.0153)"
="",="0.0006",="0.0003",="0.0000",="0.1536",="0.0006",="0.0000"
="",="3.4367",="3.6417",="-6.9473",="1.4280",="-3.4367",="-6.6843"
="Poorest",="0.3490***",="0.0187",="-0.3043***",="-0.0634***",="-0.3490***",="-0.3677***"
="",="(0.0210)",="(0.0226)",="(0.0269)",="(0.0131)",="(0.0210)",="(0.0241)"
="",="0.0000",="0.4094",="0.0000",="0.0000",="0.0000",="0.0000"
="",="16.5929",="0.8253",="-11.3185",="-4.8563",="-16.5929",="-15.2683"
="Poorer",="0.2455***",="0.0617**",="-0.2428***",="-0.0644***",="-0.2455***",="-0.3072***"
="",="(0.0199)",="(0.0222)",="(0.0263)",="(0.0126)",="(0.0199)",="(0.0237)"
="",="0.0000",="0.0056",="0.0000",="0.0000",="0.0000",="0.0000"
="",="12.3554",="2.7748",="-9.2278",="-5.1289",="-12.3554",="-12.9460"
="Middle",="0.1583***",="0.0177",="-0.1130***",="-0.0630***",="-0.1583***",="-0.1760***"
="",="(0.0196)",="(0.0228)",="(0.0277)",="(0.0127)",="(0.0196)",="(0.0249)"
="",="0.0000",="0.4368",="0.0000",="0.0000",="0.0000",="0.0000"
="",="8.0594",="0.7779",="-4.0821",="-4.9724",="-8.0594",="-7.0763"
