="Panel B: Treatment Effects on Occupation Type - Teen Pregnancies"
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="White Collar",="Manual",="Agriculture",="Unskilled",="Professional"
="",="b/se/p/t",="b/se/p/t",="b/se/p/t",="b/se/p/t",="b/se/p/t"
="past_group",="-0.0138",="-0.0057",="0.0093",="-0.0065",="-0.0090"
="",="(0.0098)",="(0.0079)",="(0.0099)",="(0.0043)",="(0.0056)"
="",="0.1575",="0.4722",="0.3501",="0.1287",="0.1103"
="",="-1.4145",="-0.7192",="0.9348",="-1.5205",="-1.5981"
="TC_noborder",="0.0142*",="0.0149**",="0.0165*",="0.0029",="0.0066"
="",="(0.0066)",="(0.0049)",="(0.0081)",="(0.0029)",="(0.0045)"
="",="0.0324",="0.0026",="0.0417",="0.3132",="0.1409"
="",="2.1426",="3.0161",="2.0393",="1.0089",="1.4736"
="Poorest",="0.0213*",="-0.0041",="0.0678***",="-0.0041",="0.0109"
="",="(0.0095)",="(0.0093)",="(0.0093)",="(0.0057)",="(0.0064)"
="",="0.0248",="0.6607",="0.0000",="0.4782",="0.0896"
="",="2.2476",="-0.4390",="7.2993",="-0.7095",="1.6990"
="Poorer",="0.0266**",="-0.0052",="0.0349***",="-0.0021",="0.0078"
="",="(0.0092)",="(0.0093)",="(0.0080)",="(0.0062)",="(0.0063)"
="",="0.0042",="0.5768",="0.0000",="0.7358",="0.2177"
="",="2.8714",="-0.5582",="4.3451",="-0.3375",="1.2334"
="Middle",="0.0306**",="-0.0081",="0.0190**",="-0.0058",="0.0157*"
="",="(0.0100)",="(0.0090)",="(0.0070)",="(0.0062)",="(0.0070)"
="",="0.0022",="0.3660",="0.0069",="0.3561",="0.0263"
="",="3.0714",="-0.9043",="2.7071",="-0.9233",="2.2254"
="Richer",="0.0270**",="-0.0001",="0.0059",="-0.0038",="0.0122"
="",="(0.0103)",="(0.0091)",="(0.0058)",="(0.0057)",="(0.0072)"
="",="0.0086",="0.9872",="0.3120",="0.5016",="0.0926"
="",="2.6324",="-0.0161",="1.0115",="-0.6722",="1.6834"
="no_edu",="-0.0902**",="0.0264**",="0.0040",="0.0154*",="-0.0844**"
="",="(0.0330)",="(0.0089)",="(0.0166)",="(0.0060)",="(0.0319)"
="",="0.0063",="0.0030",="0.8085",="0.0101",="0.0084"
="",="-2.7372",="2.9748",="0.2424",="2.5764",="-2.6421"
="primary_edu",="-0.0770*",="0.0205**",="-0.0024",="0.0127*",="-0.0777*"
