="Heterogeneity Analysis: Urban vs Rural"

="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="(1)",="(2)",="(3)",="(4)",="(5)"

="past_group",="-0.279***",="-0.109***",="-0.291***",="-0.138***",="-0.134***"
="",="(0.020)",="(0.019)",="(0.020)",="(0.016)",="(0.016)"

="past_group_urban",="0.133***",="0.104***",="0.111***",="0.069***",="0.069***"
="",="(0.026)",="(0.023)",="(0.026)",="(0.021)",="(0.020)"

="TC_noborder",="0.201***",="0.120***",="0.204***",="0.093***",="0.093***"
="",="(0.017)",="(0.013)",="(0.018)",="(0.012)",="(0.011)"

="TC_urban",="-0.145***",="-0.124***",="-0.144***",="-0.051***",="-0.053***"
="",="(0.026)",="(0.022)",="(0.027)",="(0.019)",="(0.019)"

="Observations",="38118",="38118",="37793",="38087",="37762"
="Adj R-squared",="0.197",="0.255",="0.215",="0.395",="0.401"

="Standard errors in parentheses"
="Reference group: Rural areas"
="Standard errors clustered at Area_unit level in parentheses"
="*** p<0.01, ** p<0.05, * p<0.10"
="* p<0.10, ** p<0.05, *** p<0.01"
