="Heterogeneity Analysis: Urban vs Rural - Full Results"

="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="(1)",="(2)",="(3)",="(4)",="(5)"

="past_group",="-0.279***",="-0.109***",="-0.291***",="-0.138***",="-0.134***"
="",="(0.020)",="(0.019)",="(0.020)",="(0.016)",="(0.016)"

="past_group_urban",="0.133***",="0.104***",="0.111***",="0.069***",="0.069***"
="",="(0.026)",="(0.023)",="(0.026)",="(0.021)",="(0.020)"

="TC_noborder",="0.201***",="0.120***",="0.204***",="0.093***",="0.093***"
="",="(0.017)",="(0.013)",="(0.018)",="(0.012)",="(0.011)"

="TC_urban",="-0.145***",="-0.124***",="-0.144***",="-0.051***",="-0.053***"
="",="(0.026)",="(0.022)",="(0.027)",="(0.019)",="(0.019)"

="Urban_rural",="0.005",="0.001",="-0.009",="0.003",="0.000"
="",="(0.016)",="(0.014)",="(0.016)",="(0.012)",="(0.012)"

="Poorest",="0.306***",="0.117***",="0.219***",="0.025**",="0.025*"
="",="(0.015)",="(0.015)",="(0.016)",="(0.013)",="(0.013)"

="Poorer",="0.243***",="0.078***",="0.168***",="0.022*",="0.020"
="",="(0.014)",="(0.014)",="(0.015)",="(0.012)",="(0.012)"

="Middle",="0.174***",="0.055***",="0.115***",="0.012",="0.009"
="",="(0.013)",="(0.012)",="(0.013)",="(0.011)",="(0.011)"

="Richer",="0.089***",="0.018*",="0.049***",="-0.005",="-0.008"
="",="(0.010)",="(0.010)",="(0.011)",="(0.009)",="(0.009)"

="Respondent_work",="-0.051***",="0.004",="-0.031***",="0.017**",="0.019***"
="",="(0.008)",="(0.008)",="(0.008)",="(0.007)",="(0.007)"

="no_edu",="",="0.334***",="",="0.208***",="0.185***"
="",="",="(0.011)",="",="(0.010)",="(0.012)"

="primary_edu",="",="0.341***",="",="0.226***",="0.202***"
="",="",="(0.013)",="",="(0.012)",="(0.013)"

="secondary_edu",="",="0.186***",="",="0.121***",="0.105***"
="",="",="(0.007)",="",="(0.007)",="(0.008)"

="Res_age",="",="-0.027***",="",="-0.049***",="-0.054***"
="",="",="(0.001)",="",="(0.001)",="(0.001)"

="Husband_work",="",="",="0.036",="",="0.014"
="",="",="",="(0.027)",="",="(0.023)"

="Husband_no_education",="",="",="0.184***",="",="0.030**"
="",="",="",="(0.014)",="",="(0.013)"

="Husband_primary",="",="",="0.176***",="",="0.036***"
="",="",="",="(0.011)",="",="(0.012)"

="Husband_secondary",="",="",="0.108***",="",="0.023***"
="",="",="",="(0.009)",="",="(0.009)"

="Husband_age",="",="",="0.006***",="",="0.007***"
="",="",="",="(0.001)",="",="(0.001)"

="Birth_order_number",="",="",="",="0.157***",="0.152***"
="",="",="",="",="(0.002)",="(0.002)"

="Religion",="",="",="",="0.004",="0.004"
="",="",="",="",="(0.015)",="(0.015)"

="_cons",="0.150***",="0.822***",="-0.166***",="1.165***",="1.046***"
="",="(0.013)",="(0.037)",="(0.037)",="(0.035)",="(0.042)"

="Observations",="38118",="38118",="37793",="38087",="37762"
="Adj R-squared",="0.197",="0.255",="0.215",="0.395",="0.401"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
