
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="late_teen_preg",="late_teen_preg",="late_teen_preg",="late_teen_preg",="late_teen_preg"

="past_group",="-0.108***",="-0.025**",="-0.119***",="-0.046***",="-0.046***"
="",="(0.011)",="(0.012)",="(0.011)",="(0.011)",="(0.011)"

="TC_noborder",="0.063***",="0.027***",="0.063***",="0.030***",="0.030***"
="",="(0.009)",="(0.009)",="(0.010)",="(0.009)",="(0.009)"

="Poorest",="0.150***",="0.070***",="0.120***",="0.023*",="0.026**"
="",="(0.011)",="(0.013)",="(0.013)",="(0.012)",="(0.013)"

="Poorer",="0.121***",="0.045***",="0.092***",="0.015",="0.015"
="",="(0.011)",="(0.012)",="(0.012)",="(0.011)",="(0.012)"

="Middle",="0.103***",="0.041***",="0.080***",="0.018*",="0.019*"
="",="(0.011)",="(0.011)",="(0.011)",="(0.011)",="(0.011)"

="Richer",="0.057***",="0.018*",="0.041***",="0.005",="0.006"
="",="(0.009)",="(0.009)",="(0.010)",="(0.009)",="(0.009)"

="Respondent_work",="-0.041***",="-0.007",="-0.031***",="-0.002",="-0.001"
="",="(0.007)",="(0.007)",="(0.007)",="(0.007)",="(0.007)"

="no_edu",="",="0.163***",="",="0.109***",="0.108***"
="",="",="(0.010)",="",="(0.010)",="(0.012)"

="primary_edu",="",="0.177***",="",="0.129***",="0.126***"
="",="",="(0.012)",="",="(0.012)",="(0.013)"

="secondary_edu",="",="0.150***",="",="0.123***",="0.120***"
="",="",="(0.007)",="",="(0.006)",="(0.008)"

="Res_age",="",="-0.014***",="",="-0.024***",="-0.026***"
="",="",="(0.001)",="",="(0.001)",="(0.001)"

="Husband_work",="",="",="0.052**",="",="0.042**"
="",="",="",="(0.020)",="",="(0.020)"

="Husband_no_education",="",="",="0.075***",="",="-0.000"
="",="",="",="(0.012)",="",="(0.013)"

="Husband_primary",="",="",="0.075***",="",="0.000"
="",="",="",="(0.010)",="",="(0.012)"

="Husband_secondary",="",="",="0.065***",="",="0.003"
="",="",="",="(0.008)",="",="(0.009)"

="Husband_age",="",="",="0.003***",="",="0.003***"
="",="",="",="(0.000)",="",="(0.001)"

="Birth_order_number",="",="",="",="0.067***",="0.064***"
="",="",="",="",="(0.002)",="(0.002)"

="Religion",="",="",="",="-0.004",="-0.003"
="",="",="",="",="(0.016)",="(0.016)"

="_cons",="0.115***",="0.444***",="-0.069**",="0.597***",="0.505***"
="",="(0.008)",="(0.034)",="(0.028)",="(0.035)",="(0.040)"

="N",="38118",="38118",="37793",="38087",="37762"
="r2_a",="0.098",="0.120",="0.103",="0.154",="0.156"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
