
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="late_teen_preg",="late_teen_preg",="late_teen_preg",="late_teen_preg",="late_teen_preg"

="past_group",="-0.115***",="-0.029",="-0.120***",="-0.044**",="-0.044**"
="",="(0.018)",="(0.019)",="(0.019)",="(0.019)",="(0.019)"

="TC_noborder",="0.101***",="0.061***",="0.104***",="0.049***",="0.048***"
="",="(0.014)",="(0.014)",="(0.014)",="(0.015)",="(0.014)"

="Poorest",="0.126***",="0.082***",="0.102***",="0.044**",="0.049**"
="",="(0.022)",="(0.022)",="(0.023)",="(0.021)",="(0.022)"

="Poorer",="0.102***",="0.061***",="0.078***",="0.038*",="0.040*"
="",="(0.021)",="(0.022)",="(0.022)",="(0.021)",="(0.021)"

="Middle",="0.082***",="0.054**",="0.063***",="0.033*",="0.036*"
="",="(0.021)",="(0.021)",="(0.021)",="(0.020)",="(0.020)"

="Richer",="0.051**",="0.048**",="0.039*",="0.034*",="0.035*"
="",="(0.021)",="(0.021)",="(0.021)",="(0.020)",="(0.020)"

="Respondent_work",="-0.033***",="-0.003",="-0.028***",="-0.002",="-0.003"
="",="(0.009)",="(0.010)",="(0.009)",="(0.009)",="(0.010)"

="no_edu",="",="0.175***",="",="0.128***",="0.138***"
="",="",="(0.013)",="",="(0.013)",="(0.016)"

="primary_edu",="",="0.193***",="",="0.147***",="0.156***"
="",="",="(0.016)",="",="(0.015)",="(0.017)"

="secondary_edu",="",="0.178***",="",="0.151***",="0.156***"
="",="",="(0.010)",="",="(0.010)",="(0.012)"

="Res_age",="",="-0.015***",="",="-0.025***",="-0.027***"
="",="",="(0.002)",="",="(0.002)",="(0.002)"

="Husband_work",="",="",="0.044*",="",="0.046*"
="",="",="",="(0.025)",="",="(0.025)"

="Husband_no_education",="",="",="0.055***",="",="-0.017"
="",="",="",="(0.016)",="",="(0.017)"

="Husband_primary",="",="",="0.052***",="",="-0.024"
="",="",="",="(0.014)",="",="(0.016)"

="Husband_secondary",="",="",="0.054***",="",="-0.012"
="",="",="",="(0.013)",="",="(0.013)"

="Husband_age",="",="",="0.003***",="",="0.003***"
="",="",="",="(0.001)",="",="(0.001)"

="Birth_order_number",="",="",="",="0.065***",="0.063***"
="",="",="",="",="(0.003)",="(0.003)"

="Religion",="",="",="",="0.003",="0.005"
="",="",="",="",="(0.025)",="(0.025)"

="_cons",="0.137***",="0.426***",="-0.023",="0.580***",="0.495***"
="",="(0.019)",="(0.049)",="(0.038)",="(0.051)",="(0.055)"

="N",="24268",="24268",="24011",="24246",="23989"
="r2_a",="0.092",="0.110",="0.095",="0.140",="0.142"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
