
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="teen_preg",="teen_preg",="teen_preg",="teen_preg",="teen_preg"

="past_group",="-0.260***",="-0.085***",="-0.275***",="-0.125***",="-0.120***"
="",="(0.021)",="(0.020)",="(0.022)",="(0.018)",="(0.017)"

="TC_noborder",="0.213***",="0.121***",="0.220***",="0.090***",="0.089***"
="",="(0.020)",="(0.015)",="(0.021)",="(0.014)",="(0.013)"

="Poorest",="0.272***",="0.144***",="0.200***",="0.046**",="0.054**"
="",="(0.024)",="(0.024)",="(0.026)",="(0.021)",="(0.021)"

="Poorer",="0.210***",="0.106***",="0.147***",="0.045**",="0.050**"
="",="(0.024)",="(0.023)",="(0.025)",="(0.020)",="(0.021)"

="Middle",="0.145***",="0.084***",="0.094***",="0.031",="0.035*"
="",="(0.024)",="(0.022)",="(0.024)",="(0.019)",="(0.020)"

="Richer",="0.067***",="0.054**",="0.038",="0.019",="0.022"
="",="(0.024)",="(0.023)",="(0.024)",="(0.020)",="(0.020)"

="Respondent_work",="-0.039***",="0.010",="-0.025**",="0.013",="0.014"
="",="(0.010)",="(0.011)",="(0.011)",="(0.009)",="(0.010)"

="no_edu",="",="0.352***",="",="0.231***",="0.225***"
="",="",="(0.014)",="",="(0.013)",="(0.015)"

="primary_edu",="",="0.371***",="",="0.252***",="0.242***"
="",="",="(0.018)",="",="(0.016)",="(0.016)"

="secondary_edu",="",="0.218***",="",="0.148***",="0.140***"
="",="",="(0.011)",="",="(0.010)",="(0.011)"

="Res_age",="",="-0.030***",="",="-0.055***",="-0.060***"
="",="",="(0.002)",="",="(0.001)",="(0.002)"

="Husband_work",="",="",="0.025",="",="0.018"
="",="",="",="(0.033)",="",="(0.029)"

="Husband_no_education",="",="",="0.162***",="",="0.005"
="",="",="",="(0.018)",="",="(0.016)"

="Husband_primary",="",="",="0.160***",="",="0.007"
="",="",="",="(0.015)",="",="(0.015)"

="Husband_secondary",="",="",="0.112***",="",="0.015"
="",="",="",="(0.013)",="",="(0.012)"

="Husband_age",="",="",="0.007***",="",="0.008***"
="",="",="",="(0.001)",="",="(0.001)"

="Birth_order_number",="",="",="",="0.167***",="0.162***"
="",="",="",="",="(0.003)",="(0.003)"

="Religion",="",="",="",="0.012",="0.014"
="",="",="",="",="(0.022)",="(0.022)"

="_cons",="0.180***",="0.855***",="-0.166***",="1.246***",="1.110***"
="",="(0.022)",="(0.054)",="(0.048)",="(0.051)",="(0.058)"

="N",="24268",="24268",="24011",="24246",="23989"
="r2_a",="0.184",="0.239",="0.199",="0.390",="0.397"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
