
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="teen_preg",="teen_preg",="teen_preg",="teen_preg",="teen_preg"

="past_group",="-0.118***",="-0.031**",="-0.147***",="-0.091***",="-0.086***"
="",="(0.016)",="(0.015)",="(0.016)",="(0.014)",="(0.014)"

="TC_noborder",="0.048*",="0.026",="0.045",="0.065***",="0.060***"
="",="(0.027)",="(0.022)",="(0.030)",="(0.019)",="(0.019)"

="Poorest",="0.285***",="0.104***",="0.177***",="0.026",="0.010"
="",="(0.030)",="(0.028)",="(0.030)",="(0.023)",="(0.025)"

="Poorer",="0.224***",="0.063**",="0.136***",="0.009",="-0.004"
="",="(0.029)",="(0.028)",="(0.028)",="(0.026)",="(0.026)"

="Middle",="0.194***",="0.074***",="0.125***",="0.049***",="0.035**"
="",="(0.019)",="(0.019)",="(0.021)",="(0.016)",="(0.017)"

="Richer",="0.088***",="0.019",="0.042***",="0.007",="-0.001"
="",="(0.012)",="(0.012)",="(0.013)",="(0.011)",="(0.011)"

="Respondent_work",="-0.064***",="-0.004",="-0.031**",="0.020*",="0.025**"
="",="(0.012)",="(0.012)",="(0.012)",="(0.011)",="(0.011)"

="no_edu",="",="0.325***",="",="0.196***",="0.141***"
="",="",="(0.020)",="",="(0.019)",="(0.021)"

="primary_edu",="",="0.317***",="",="0.209***",="0.163***"
="",="",="(0.023)",="",="(0.021)",="(0.022)"

="secondary_edu",="",="0.157***",="",="0.099***",="0.072***"
="",="",="(0.010)",="",="(0.010)",="(0.011)"

="Res_age",="",="-0.020***",="",="-0.037***",="-0.041***"
="",="",="(0.002)",="",="(0.002)",="(0.002)"

="Husband_work",="",="",="0.085*",="",="0.030"
="",="",="",="(0.048)",="",="(0.040)"

="Husband_no_education",="",="",="0.222***",="",="0.088***"
="",="",="",="(0.024)",="",="(0.021)"

="Husband_primary",="",="",="0.206***",="",="0.091***"
="",="",="",="(0.019)",="",="(0.018)"

="Husband_secondary",="",="",="0.095***",="",="0.034***"
="",="",="",="(0.012)",="",="(0.012)"

="Husband_age",="",="",="0.008***",="",="0.006***"
="",="",="",="(0.001)",="",="(0.001)"

="Birth_order_number",="",="",="",="0.143***",="0.137***"
="",="",="",="",="(0.004)",="(0.004)"

="Religion",="",="",="",="-0.016",="-0.014"
="",="",="",="",="(0.021)",="(0.021)"

="_cons",="0.144***",="0.616***",="-0.288***",="0.852***",="0.751***"
="",="(0.019)",="(0.069)",="(0.066)",="(0.067)",="(0.082)"

="N",="13839",="13839",="13771",="13830",="13762"
="r2_a",="0.205",="0.253",="0.240",="0.379",="0.388"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
