
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="very_early_preg",="very_early_preg",="very_early_preg",="very_early_preg",="very_early_preg"

="past_group",="-0.022***",="-0.009*",="-0.029***",="-0.018***",="-0.017***"
="",="(0.005)",="(0.005)",="(0.005)",="(0.005)",="(0.005)"

="TC_noborder",="0.016***",="0.008**",="0.017***",="0.009**",="0.009**"
="",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)"

="Poorest",="0.052***",="0.020***",="0.039***",="-0.001",="-0.001"
="",="(0.005)",="(0.005)",="(0.005)",="(0.005)",="(0.005)"

="Poorer",="0.035***",="0.011***",="0.026***",="-0.003",="-0.003"
="",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)"

="Middle",="0.018***",="0.003",="0.011***",="-0.008**",="-0.008**"
="",="(0.004)",="(0.003)",="(0.004)",="(0.003)",="(0.003)"

="Richer",="0.009***",="0.001",="0.004",="-0.005*",="-0.005*"
="",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="Respondent_work",="0.003",="0.008**",="0.006*",="0.010***",="0.011***"
="",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="no_edu",="",="0.050***",="",="0.027***",="0.021***"
="",="",="(0.004)",="",="(0.004)",="(0.005)"

="primary_edu",="",="0.039***",="",="0.017***",="0.013**"
="",="",="(0.005)",="",="(0.005)",="(0.005)"

="secondary_edu",="",="0.003*",="",="-0.009***",="-0.011***"
="",="",="(0.002)",="",="(0.002)",="(0.002)"

="Res_age",="",="-0.002***",="",="-0.007***",="-0.008***"
="",="",="(0.000)",="",="(0.001)",="(0.001)"

="Husband_work",="",="",="0.010",="",="0.005"
="",="",="",="(0.007)",="",="(0.007)"

="Husband_no_education",="",="",="0.032***",="",="0.009*"
="",="",="",="(0.005)",="",="(0.005)"

="Husband_primary",="",="",="0.023***",="",="0.007"
="",="",="",="(0.004)",="",="(0.005)"

="Husband_secondary",="",="",="0.006**",="",="0.001"
="",="",="",="(0.002)",="",="(0.002)"

="Husband_age",="",="",="0.002***",="",="0.002***"
="",="",="",="(0.000)",="",="(0.000)"

="Birth_order_number",="",="",="",="0.030***",="0.028***"
="",="",="",="",="(0.002)",="(0.002)"

="Religion",="",="",="",="0.012**",="0.012**"
="",="",="",="",="(0.005)",="(0.005)"

="_cons",="-0.000",="0.068***",="-0.075***",="0.126***",="0.099***"
="",="(0.003)",="(0.013)",="(0.011)",="(0.014)",="(0.016)"

="N",="38118",="38118",="37793",="38087",="37762"
="r2_a",="0.051",="0.063",="0.059",="0.105",="0.109"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
