
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="teen_preg",="teen_preg",="teen_preg",="teen_preg",="teen_preg"

="past_group",="-0.258***",="-0.062",="-0.263***",="-0.116***",="-0.101***"
="",="(0.034)",="(0.038)",="(0.034)",="(0.031)",="(0.031)"

="TC_noborder",="0.128***",="0.042",="0.128***",="0.054**",="0.046**"
="",="(0.028)",="(0.026)",="(0.029)",="(0.023)",="(0.022)"

="Poorest",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="Poorer",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="Middle",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="Richer",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="Respondent_work",="-0.064***",="-0.007",="-0.055***",="-0.004",="-0.005"
="",="(0.019)",="(0.016)",="(0.019)",="(0.016)",="(0.018)"

="no_edu",="",="0.374***",="",="0.246***",="0.234***"
="",="",="(0.024)",="",="(0.023)",="(0.027)"

="primary_edu",="",="0.354***",="",="0.246***",="0.233***"
="",="",="(0.032)",="",="(0.029)",="(0.031)"

="secondary_edu",="",="0.219***",="",="0.152***",="0.141***"
="",="",="(0.019)",="",="(0.018)",="(0.020)"

="Res_age",="",="-0.033***",="",="-0.055***",="-0.062***"
="",="",="(0.003)",="",="(0.003)",="(0.003)"

="Husband_work",="",="",="-0.035",="",="-0.017"
="",="",="",="(0.054)",="",="(0.042)"

="Husband_no_education",="",="",="0.159***",="",="0.006"
="",="",="",="(0.030)",="",="(0.030)"

="Husband_primary",="",="",="0.175***",="",="0.033"
="",="",="",="(0.029)",="",="(0.029)"

="Husband_secondary",="",="",="0.113***",="",="0.020"
="",="",="",="(0.023)",="",="(0.022)"

="Husband_age",="",="",="0.008***",="",="0.010***"
="",="",="",="(0.002)",="",="(0.002)"

="Birth_order_number",="",="",="",="0.164***",="0.156***"
="",="",="",="",="(0.006)",="(0.006)"

="Religion",="",="",="",="0.018",="0.019"
="",="",="",="",="(0.040)",="(0.041)"

="_cons",="0.338***",="1.017***",="-0.033",="1.303***",="1.168***"
="",="(0.007)",="(0.094)",="(0.080)",="(0.090)",="(0.098)"

="N",="7814",="7814",="7739",="7811",="7736"
="r2_a",="0.211",="0.277",="0.228",="0.401",="0.410"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
