
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="teen_preg",="teen_preg",="teen_preg",="teen_preg",="teen_preg"

="past_group",="-0.081***",="-0.017",="-0.110***",="-0.072***",="-0.066***"
="",="(0.018)",="(0.017)",="(0.017)",="(0.016)",="(0.016)"

="TC_noborder",="0.030",="0.013",="0.033",="0.050**",="0.051**"
="",="(0.028)",="(0.025)",="(0.030)",="(0.024)",="(0.024)"

="Poorest",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="Poorer",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="Middle",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="Richer",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="Respondent_work",="-0.101***",="-0.034***",="-0.065***",="-0.012",="-0.007"
="",="(0.012)",="(0.010)",="(0.011)",="(0.010)",="(0.010)"

="no_edu",="",="0.304***",="",="0.204***",="0.132***"
="",="",="(0.044)",="",="(0.038)",="(0.040)"

="primary_edu",="",="0.372***",="",="0.259***",="0.211***"
="",="",="(0.049)",="",="(0.043)",="(0.045)"

="secondary_edu",="",="0.138***",="",="0.093***",="0.062***"
="",="",="(0.012)",="",="(0.011)",="(0.012)"

="Res_age",="",="-0.016***",="",="-0.028***",="-0.033***"
="",="",="(0.003)",="",="(0.002)",="(0.003)"

="Husband_work",="",="",="0.187***",="",="0.118**"
="",="",="",="(0.055)",="",="(0.057)"

="Husband_no_education",="",="",="0.254***",="",="0.148***"
="",="",="",="(0.056)",="",="(0.050)"

="Husband_primary",="",="",="0.204***",="",="0.094***"
="",="",="",="(0.033)",="",="(0.030)"

="Husband_secondary",="",="",="0.094***",="",="0.038***"
="",="",="",="(0.013)",="",="(0.014)"

="Husband_age",="",="",="0.009***",="",="0.007***"
="",="",="",="(0.001)",="",="(0.001)"

="Birth_order_number",="",="",="",="0.123***",="0.114***"
="",="",="",="",="(0.006)",="(0.006)"

="Religion",="",="",="",="-0.069***",="-0.060**"
="",="",="",="",="(0.026)",="(0.027)"

="_cons",="0.153***",="0.514***",="-0.430***",="0.679***",="0.465***"
="",="(0.018)",="(0.079)",="(0.087)",="(0.078)",="(0.102)"

="N",="6748",="6748",="6703",="6742",="6697"
="r2_a",="0.190",="0.257",="0.244",="0.358",="0.375"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
