
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="early_teen_preg",="early_teen_preg",="early_teen_preg",="early_teen_preg",="early_teen_preg"

="past_group",="-0.073***",="-0.015**",="-0.078***",="-0.035***",="-0.032***"
="",="(0.007)",="(0.007)",="(0.007)",="(0.007)",="(0.007)"

="TC_noborder",="0.054***",="0.026***",="0.053***",="0.028***",="0.028***"
="",="(0.008)",="(0.007)",="(0.008)",="(0.006)",="(0.006)"

="Poorest",="0.133***",="0.053***",="0.099***",="0.010",="0.008"
="",="(0.008)",="(0.009)",="(0.009)",="(0.008)",="(0.009)"

="Poorer",="0.109***",="0.044***",="0.083***",="0.015**",="0.015*"
="",="(0.008)",="(0.008)",="(0.008)",="(0.008)",="(0.008)"

="Middle",="0.071***",="0.028***",="0.050***",="0.006",="0.004"
="",="(0.007)",="(0.007)",="(0.007)",="(0.006)",="(0.007)"

="Richer",="0.032***",="0.008",="0.018***",="-0.004",="-0.006"
="",="(0.006)",="(0.006)",="(0.006)",="(0.006)",="(0.006)"

="Respondent_work",="-0.012**",="0.004",="-0.004",="0.008",="0.010*"
="",="(0.005)",="(0.005)",="(0.005)",="(0.005)",="(0.005)"

="no_edu",="",="0.122***",="",="0.073***",="0.057***"
="",="",="(0.008)",="",="(0.007)",="(0.008)"

="primary_edu",="",="0.124***",="",="0.080***",="0.064***"
="",="",="(0.010)",="",="(0.009)",="(0.010)"

="secondary_edu",="",="0.033***",="",="0.008**",="-0.004"
="",="",="(0.003)",="",="(0.003)",="(0.004)"

="Res_age",="",="-0.010***",="",="-0.019***",="-0.020***"
="",="",="(0.001)",="",="(0.001)",="(0.001)"

="Husband_work",="",="",="-0.025",="",="-0.033*"
="",="",="",="(0.021)",="",="(0.019)"

="Husband_no_education",="",="",="0.076***",="",="0.020**"
="",="",="",="(0.008)",="",="(0.009)"

="Husband_primary",="",="",="0.074***",="",="0.028***"
="",="",="",="(0.007)",="",="(0.007)"

="Husband_secondary",="",="",="0.036***",="",="0.019***"
="",="",="",="(0.005)",="",="(0.005)"

="Husband_age",="",="",="0.002***",="",="0.002***"
="",="",="",="(0.000)",="",="(0.000)"

="Birth_order_number",="",="",="",="0.061***",="0.060***"
="",="",="",="",="(0.002)",="(0.002)"

="Religion",="",="",="",="-0.005",="-0.005"
="",="",="",="",="(0.010)",="(0.010)"

="_cons",="0.015**",="0.297***",="-0.050*",="0.441***",="0.440***"
="",="(0.006)",="(0.024)",="(0.026)",="(0.026)",="(0.032)"

="N",="38118",="38118",="37793",="38087",="37762"
="r2_a",="0.085",="0.111",="0.092",="0.165",="0.167"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
