
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="early_teen_preg",="early_teen_preg",="early_teen_preg",="early_teen_preg",="early_teen_preg"

="past_group",="-0.034***",="-0.010",="-0.043***",="-0.032***",="-0.030***"
="",="(0.008)",="(0.008)",="(0.009)",="(0.008)",="(0.008)"

="TC_noborder",="0.013",="0.006",="0.012",="0.020*",="0.018"
="",="(0.012)",="(0.012)",="(0.013)",="(0.011)",="(0.012)"

="Poorest",="0.137***",="0.066**",="0.095***",="0.038",="0.030"
="",="(0.030)",="(0.028)",="(0.028)",="(0.027)",="(0.026)"

="Poorer",="0.115***",="0.054***",="0.082***",="0.034**",="0.028"
="",="(0.018)",="(0.018)",="(0.017)",="(0.017)",="(0.017)"

="Middle",="0.076***",="0.035***",="0.051***",="0.026**",="0.019"
="",="(0.012)",="(0.013)",="(0.013)",="(0.012)",="(0.012)"

="Richer",="0.041***",="0.020**",="0.026***",="0.015**",="0.012"
="",="(0.008)",="(0.008)",="(0.008)",="(0.008)",="(0.008)"

="Respondent_work",="-0.015**",="0.001",="-0.005",="0.010",="0.011"
="",="(0.008)",="(0.008)",="(0.008)",="(0.007)",="(0.007)"

="no_edu",="",="0.114***",="",="0.067***",="0.045***"
="",="",="(0.014)",="",="(0.013)",="(0.013)"

="primary_edu",="",="0.112***",="",="0.073***",="0.055***"
="",="",="(0.017)",="",="(0.016)",="(0.017)"

="secondary_edu",="",="0.029***",="",="0.007",="-0.002"
="",="",="(0.005)",="",="(0.005)",="(0.005)"

="Res_age",="",="-0.006***",="",="-0.012***",="-0.014***"
="",="",="(0.001)",="",="(0.001)",="(0.001)"

="Husband_work",="",="",="-0.002",="",="-0.019"
="",="",="",="(0.033)",="",="(0.032)"

="Husband_no_education",="",="",="0.080***",="",="0.035**"
="",="",="",="(0.015)",="",="(0.014)"

="Husband_primary",="",="",="0.074***",="",="0.038***"
="",="",="",="(0.011)",="",="(0.011)"

="Husband_secondary",="",="",="0.021***",="",="0.009"
="",="",="",="(0.006)",="",="(0.006)"

="Husband_age",="",="",="0.002***",="",="0.001**"
="",="",="",="(0.001)",="",="(0.001)"

="Birth_order_number",="",="",="",="0.053***",="0.051***"
="",="",="",="",="(0.004)",="(0.004)"

="Religion",="",="",="",="-0.010",="-0.009"
="",="",="",="",="(0.013)",="(0.013)"

="_cons",="0.024**",="0.174***",="-0.076*",="0.266***",="0.271***"
="",="(0.010)",="(0.039)",="(0.042)",="(0.041)",="(0.050)"

="N",="13839",="13839",="13771",="13830",="13762"
="r2_a",="0.096",="0.116",="0.109",="0.168",="0.171"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
