
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="teen_preg",="teen_preg",="teen_preg",="teen_preg",="teen_preg"

="past_group",="-0.170***",="-0.046**",="-0.184***",="-0.079***",="-0.077***"
="",="(0.025)",="(0.021)",="(0.025)",="(0.019)",="(0.019)"

="TC_noborder",="0.105***",="0.054**",="0.087***",="0.063***",="0.055***"
="",="(0.026)",="(0.021)",="(0.026)",="(0.018)",="(0.018)"

="Poorest",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="Poorer",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="Middle",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="Richer",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="Respondent_work",="-0.088***",="0.004",="-0.053***",="0.021",="0.025"
="",="(0.017)",="(0.017)",="(0.017)",="(0.016)",="(0.016)"

="no_edu",="",="0.320***",="",="0.213***",="0.166***"
="",="",="(0.029)",="",="(0.026)",="(0.030)"

="primary_edu",="",="0.319***",="",="0.222***",="0.182***"
="",="",="(0.028)",="",="(0.027)",="(0.029)"

="secondary_edu",="",="0.195***",="",="0.144***",="0.127***"
="",="",="(0.015)",="",="(0.014)",="(0.017)"

="Res_age",="",="-0.027***",="",="-0.046***",="-0.052***"
="",="",="(0.003)",="",="(0.002)",="(0.003)"

="Husband_work",="",="",="0.015",="",="0.003"
="",="",="",="(0.068)",="",="(0.060)"

="Husband_no_education",="",="",="0.187***",="",="0.062*"
="",="",="",="(0.035)",="",="(0.034)"

="Husband_primary",="",="",="0.183***",="",="0.069**"
="",="",="",="(0.028)",="",="(0.027)"

="Husband_secondary",="",="",="0.093***",="",="0.014"
="",="",="",="(0.019)",="",="(0.019)"

="Husband_age",="",="",="0.007***",="",="0.008***"
="",="",="",="(0.001)",="",="(0.001)"

="Birth_order_number",="",="",="",="0.152***",="0.144***"
="",="",="",="",="(0.006)",="(0.006)"

="Religion",="",="",="",="0.005",="0.010"
="",="",="",="",="(0.036)",="(0.037)"

="_cons",="0.246***",="0.813***",="-0.119",="1.075***",="0.939***"
="",="(0.010)",="(0.075)",="(0.090)",="(0.077)",="(0.103)"

="N",="7184",="7184",="7126",="7178",="7120"
="r2_a",="0.232",="0.291",="0.255",="0.401",="0.410"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
