
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="late_teen_preg",="late_teen_preg",="late_teen_preg",="late_teen_preg",="late_teen_preg"

="past_group",="-0.081***",="-0.020",="-0.098***",="-0.050***",="-0.048***"
="",="(0.013)",="(0.014)",="(0.013)",="(0.013)",="(0.014)"

="TC_noborder",="0.029",="0.015",="0.027",="0.035*",="0.033*"
="",="(0.022)",="(0.019)",="(0.023)",="(0.019)",="(0.019)"

="Poorest",="0.107***",="0.015",="0.057*",="-0.023",="-0.027"
="",="(0.029)",="(0.031)",="(0.031)",="(0.031)",="(0.032)"

="Poorer",="0.061***",="-0.025",="0.018",="-0.051**",="-0.054**"
="",="(0.022)",="(0.023)",="(0.024)",="(0.023)",="(0.024)"

="Middle",="0.101***",="0.033*",="0.067***",="0.022",="0.017"
="",="(0.017)",="(0.017)",="(0.019)",="(0.016)",="(0.017)"

="Richer",="0.040***",="-0.002",="0.015",="-0.007",="-0.011"
="",="(0.011)",="(0.012)",="(0.012)",="(0.011)",="(0.012)"

="Respondent_work",="-0.053***",="-0.013",="-0.033***",="-0.001",="0.002"
="",="(0.010)",="(0.011)",="(0.010)",="(0.010)",="(0.010)"

="no_edu",="",="0.180***",="",="0.116***",="0.093***"
="",="",="(0.019)",="",="(0.018)",="(0.021)"

="primary_edu",="",="0.180***",="",="0.127***",="0.106***"
="",="",="(0.021)",="",="(0.021)",="(0.022)"

="secondary_edu",="",="0.123***",="",="0.094***",="0.080***"
="",="",="(0.009)",="",="(0.009)",="(0.010)"

="Res_age",="",="-0.013***",="",="-0.022***",="-0.024***"
="",="",="(0.002)",="",="(0.002)",="(0.002)"

="Husband_work",="",="",="0.078**",="",="0.046"
="",="",="",="(0.036)",="",="(0.033)"

="Husband_no_education",="",="",="0.108***",="",="0.030"
="",="",="",="(0.021)",="",="(0.021)"

="Husband_primary",="",="",="0.112***",="",="0.039**"
="",="",="",="(0.017)",="",="(0.018)"

="Husband_secondary",="",="",="0.070***",="",="0.021*"
="",="",="",="(0.011)",="",="(0.012)"

="Husband_age",="",="",="0.004***",="",="0.004***"
="",="",="",="(0.001)",="",="(0.001)"

="Birth_order_number",="",="",="",="0.071***",="0.067***"
="",="",="",="",="(0.004)",="(0.004)"

="Religion",="",="",="",="-0.022",="-0.022"
="",="",="",="",="(0.020)",="(0.020)"

="_cons",="0.118***",="0.426***",="-0.161***",="0.553***",="0.455***"
="",="(0.016)",="(0.062)",="(0.051)",="(0.064)",="(0.076)"

="N",="13839",="13839",="13771",="13830",="13762"
="r2_a",="0.118",="0.142",="0.131",="0.184",="0.188"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
