
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="very_early_preg",="very_early_preg",="very_early_preg",="very_early_preg",="very_early_preg"

="past_group",="-0.045***",="-0.027***",="-0.052***",="-0.036***",="-0.035***"
="",="(0.009)",="(0.009)",="(0.009)",="(0.009)",="(0.009)"

="TC_noborder",="0.030***",="0.019***",="0.033***",="0.012*",="0.012*"
="",="(0.007)",="(0.007)",="(0.007)",="(0.007)",="(0.007)"

="Poorest",="0.045***",="0.017***",="0.031***",="-0.004",="-0.001"
="",="(0.006)",="(0.006)",="(0.006)",="(0.007)",="(0.007)"

="Poorer",="0.027***",="0.007",="0.016***",="-0.006",="-0.004"
="",="(0.006)",="(0.006)",="(0.006)",="(0.006)",="(0.006)"

="Middle",="0.016***",="0.004",="0.007",="-0.007",="-0.006"
="",="(0.005)",="(0.005)",="(0.005)",="(0.005)",="(0.005)"

="Richer",="0.009**",="0.004",="0.004",="-0.003",="-0.002"
="",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.005)"

="Respondent_work",="0.002",="0.006",="0.004",="0.007",="0.007*"
="",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)"

="no_edu",="",="0.052***",="",="0.026***",="0.025***"
="",="",="(0.005)",="",="(0.005)",="(0.006)"

="primary_edu",="",="0.043***",="",="0.018***",="0.016**"
="",="",="(0.006)",="",="(0.006)",="(0.007)"

="secondary_edu",="",="0.002",="",="-0.013***",="-0.013***"
="",="",="(0.002)",="",="(0.002)",="(0.003)"

="Res_age",="",="-0.003***",="",="-0.008***",="-0.009***"
="",="",="(0.001)",="",="(0.001)",="(0.001)"

="Husband_work",="",="",="0.009",="",="0.004"
="",="",="",="(0.009)",="",="(0.008)"

="Husband_no_education",="",="",="0.028***",="",="0.002"
="",="",="",="(0.006)",="",="(0.007)"

="Husband_primary",="",="",="0.026***",="",="0.004"
="",="",="",="(0.006)",="",="(0.006)"

="Husband_secondary",="",="",="0.007**",="",="-0.000"
="",="",="",="(0.003)",="",="(0.004)"

="Husband_age",="",="",="0.002***",="",="0.002***"
="",="",="",="(0.000)",="",="(0.000)"

="Birth_order_number",="",="",="",="0.035***",="0.033***"
="",="",="",="",="(0.002)",="(0.002)"

="Religion",="",="",="",="0.007",="0.007"
="",="",="",="",="(0.010)",="(0.010)"

="_cons",="0.004",="0.071***",="-0.093***",="0.150***",="0.115***"
="",="(0.005)",="(0.019)",="(0.015)",="(0.020)",="(0.022)"

="N",="24268",="24268",="24011",="24246",="23989"
="r2_a",="0.058",="0.071",="0.068",="0.119",="0.124"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
