
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="very_early_preg",="very_early_preg",="very_early_preg",="very_early_preg",="very_early_preg"

="past_group",="-0.003",="-0.001",="-0.007",="-0.009",="-0.008"
="",="(0.005)",="(0.006)",="(0.005)",="(0.006)",="(0.006)"

="TC_noborder",="0.006",="0.005",="0.006",="0.010",="0.009"
="",="(0.006)",="(0.006)",="(0.007)",="(0.006)",="(0.006)"

="Poorest",="0.041***",="0.022*",="0.025*",="0.011",="0.006"
="",="(0.014)",="(0.013)",="(0.013)",="(0.013)",="(0.013)"

="Poorer",="0.048***",="0.033***",="0.036***",="0.025**",="0.022**"
="",="(0.011)",="(0.011)",="(0.011)",="(0.011)",="(0.011)"

="Middle",="0.016***",="0.006",="0.007",="0.002",="-0.001"
="",="(0.006)",="(0.005)",="(0.006)",="(0.005)",="(0.006)"

="Richer",="0.006*",="0.001",="0.001",="-0.000",="-0.002"
="",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="Respondent_work",="0.004",="0.008*",="0.007*",="0.011**",="0.012**"
="",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)"

="no_edu",="",="0.031***",="",="0.014*",="0.003"
="",="",="(0.008)",="",="(0.007)",="(0.008)"

="primary_edu",="",="0.025***",="",="0.010",="0.002"
="",="",="(0.006)",="",="(0.006)",="(0.006)"

="secondary_edu",="",="0.006*",="",="-0.002",="-0.005*"
="",="",="(0.003)",="",="(0.003)",="(0.003)"

="Res_age",="",="-0.001",="",="-0.003***",="-0.004***"
="",="",="(0.001)",="",="(0.001)",="(0.001)"

="Husband_work",="",="",="0.009",="",="0.002"
="",="",="",="(0.010)",="",="(0.011)"

="Husband_no_education",="",="",="0.033***",="",="0.023***"
="",="",="",="(0.009)",="",="(0.009)"

="Husband_primary",="",="",="0.021***",="",="0.013**"
="",="",="",="(0.005)",="",="(0.005)"

="Husband_secondary",="",="",="0.004",="",="0.003"
="",="",="",="(0.003)",="",="(0.002)"

="Husband_age",="",="",="0.001***",="",="0.001**"
="",="",="",="(0.000)",="",="(0.000)"

="Birth_order_number",="",="",="",="0.019***",="0.018***"
="",="",="",="",="(0.002)",="(0.002)"

="Religion",="",="",="",="0.016***",="0.017***"
="",="",="",="",="(0.003)",="(0.003)"

="_cons",="0.002",="0.016",="-0.051***",="0.033",="0.025"
="",="(0.004)",="(0.023)",="(0.017)",="(0.022)",="(0.024)"

="N",="13839",="13839",="13771",="13830",="13762"
="r2_a",="0.088",="0.093",="0.097",="0.121",="0.124"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
