="Panel B: Treatment Effects on Occupation Type - ALL WOMEN"
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="White Collar",="Manual",="Agriculture",="Unskilled",="Professional"
="",="b/se/p/t",="b/se/p/t",="b/se/p/t",="b/se/p/t",="b/se/p/t"
="past_group",="-0.0107",="-0.0003",="0.0144**",="-0.0014",="-0.0079"
="",="(0.0083)",="(0.0045)",="(0.0053)",="(0.0023)",="(0.0068)"
="",="0.2008",="0.9389",="0.0062",="0.5292",="0.2422"
="",="-1.2800",="-0.0767",="2.7400",="-0.6295",="-1.1701"
="TC_noborder",="-0.0023",="0.0098**",="0.0069",="0.0007",="-0.0025"
="",="(0.0059)",="(0.0032)",="(0.0048)",="(0.0017)",="(0.0052)"
="",="0.6919",="0.0018",="0.1505",="0.6930",="0.6279"
="",="-0.3963",="3.1204",="1.4387",="0.3948",="-0.4848"
="Poorest",="-0.0255**",="0.0001",="0.0686***",="-0.0026",="-0.0108"
="",="(0.0091)",="(0.0046)",="(0.0066)",="(0.0028)",="(0.0079)"
="",="0.0054",="0.9810",="0.0000",="0.3460",="0.1735"
="",="-2.7898",="0.0239",="10.3465",="-0.9427",="-1.3619"
="Poorer",="-0.0123",="0.0024",="0.0284***",="-0.0016",="-0.0026"
="",="(0.0092)",="(0.0046)",="(0.0049)",="(0.0026)",="(0.0080)"
="",="0.1804",="0.6090",="0.0000",="0.5408",="0.7464"
="",="-1.3402",="0.5116",="5.8007",="-0.6118",="-0.3235"
="Middle",="-0.0042",="-0.0002",="0.0140***",="-0.0027",="0.0024"
="",="(0.0091)",="(0.0040)",="(0.0035)",="(0.0026)",="(0.0083)"
="",="0.6424",="0.9554",="0.0001",="0.3003",="0.7686"
="",="-0.4645",="-0.0560",="4.0391",="-1.0362",="0.2943"
="Richer",="0.0019",="0.0083*",="0.0011",="0.0007",="0.0074"
="",="(0.0089)",="(0.0039)",="(0.0023)",="(0.0024)",="(0.0078)"
="",="0.8339",="0.0341",="0.6322",="0.7793",="0.3401"
="",="0.2097",="2.1210",="0.4788",="0.2803",="0.9544"
="no_edu",="-0.2805***",="0.0122*",="0.0168**",="0.0036",="-0.2815***"
="",="(0.0121)",="(0.0049)",="(0.0052)",="(0.0030)",="(0.0113)"
="",="0.0000",="0.0128",="0.0012",="0.2336",="0.0000"
="",="-23.1362",="2.4923",="3.2415",="1.1918",="-24.8997"
="primary_edu",="-0.2744***",="0.0108*",="0.0097",="0.0050",="-0.2765***"
