="Panel D: Treatment Effect on Postsecondary Education - ALL WOMEN"
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Spec 1",="Spec 2",="Spec 3",="Spec 4",="Spec 5"
="",="b/se/p/t",="b/se/p/t",="b/se/p/t",="b/se/p/t",="b/se/p/t"
="past_group",="0.0413***",="0.0052",="0.0408***",="0.0153",="0.0087"
="",="(0.0118)",="(0.0116)",="(0.0090)",="(0.0114)",="(0.0091)"
="",="0.0005",="0.6553",="0.0000",="0.1794",="0.3379"
="",="3.4919",="0.4465",="4.5306",="1.3434",="0.9588"
="TC_noborder",="-0.0572***",="-0.0452***",="-0.0416***",="-0.0454***",="-0.0291***"
="",="(0.0077)",="(0.0077)",="(0.0062)",="(0.0077)",="(0.0062)"
="",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000"
="",="-7.4450",="-5.8567",="-6.6746",="-5.8854",="-4.6855"
="Poorest",="-0.3828***",="-0.3765***",="-0.2073***",="-0.3431***",="-0.1820***"
="",="(0.0120)",="(0.0120)",="(0.0102)",="(0.0117)",="(0.0100)"
="",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000"
="",="-31.9485",="-31.2640",="-20.2306",="-29.3086",="-18.1425"
="Poorer",="-0.3685***",="-0.3624***",="-0.2066***",="-0.3383***",="-0.1871***"
="",="(0.0122)",="(0.0122)",="(0.0103)",="(0.0119)",="(0.0101)"
="",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000"
="",="-30.2106",="-29.5895",="-20.1392",="-28.3442",="-18.5894"
="Middle",="-0.3203***",="-0.3164***",="-0.1854***",="-0.2985***",="-0.1713***"
="",="(0.0121)",="(0.0122)",="(0.0103)",="(0.0119)",="(0.0101)"
="",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000"
="",="-26.4105",="-26.0391",="-18.0403",="-25.0690",="-17.0072"
="Richer",="-0.2142***",="-0.2122***",="-0.1189***",="-0.2022***",="-0.1116***"
="",="(0.0120)",="(0.0121)",="(0.0097)",="(0.0118)",="(0.0096)"
="",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000"
="",="-17.8777",="-17.5635",="-12.2469",="-17.1184",="-11.6639"
="Respondent_work",="0.1926***",="0.1908***",="0.1348***",="0.1852***",="0.1296***"
="",="(0.0137)",="(0.0135)",="(0.0102)",="(0.0132)",="(0.0099)"
="",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000"
="",="14.0874",="14.1098",="13.2457",="13.9770",="13.1126"
="Res_age",="",="0.0068***",="",="0.0108***",="0.0106***"
="",="",="(0.0010)",="",="(0.0010)",="(0.0009)"
="",="",="0.0000",="",="0.0000",="0.0000"
="",="",="6.7552",="",="10.5747",="11.6668"
="Husband_work",="",="",="-0.0004",="",="0.0013"
="",="",="",="(0.0169)",="",="(0.0170)"
="",="",="",="0.9790",="",="0.9407"
="",="",="",="-0.0263",="",="0.0745"
="Husband_no_education",="",="",="-0.4229***",="",="-0.4135***"
="",="",="",="(0.0114)",="",="(0.0113)"
="",="",="",="0.0000",="",="0.0000"
="",="",="",="-36.9405",="",="-36.6252"
="Husband_primary",="",="",="-0.4399***",="",="-0.4323***"
="",="",="",="(0.0113)",="",="(0.0112)"
="",="",="",="0.0000",="",="0.0000"
="",="",="",="-39.0986",="",="-38.6205"
="Husband_secondary",="",="",="-0.4030***",="",="-0.3988***"
="",="",="",="(0.0107)",="",="(0.0107)"
="",="",="",="0.0000",="",="0.0000"
="",="",="",="-37.6333",="",="-37.4137"
="Husband_age",="",="",="-0.0017***",="",="-0.0024***"
="",="",="",="(0.0003)",="",="(0.0003)"
="",="",="",="0.0000",="",="0.0000"
="",="",="",="-5.5497",="",="-7.2315"
="Birth_order_number",="",="",="",="-0.0306***",="-0.0206***"
="",="",="",="",="(0.0016)",="(0.0014)"
="",="",="",="",="0.0000",="0.0000"
="",="",="",="",="-18.9269",="-14.7765"
="Religion",="",="",="",="0.0056",="-0.0064"
="",="",="",="",="(0.0119)",="(0.0095)"
="",="",="",="",="0.6355",="0.4998"
="",="",="",="",="0.4742",="-0.6749"
="_cons",="0.3898***",="0.1933***",="0.6835***",="0.1320***",="0.4440***"
="",="(0.0105)",="(0.0317)",="(0.0239)",="(0.0327)",="(0.0318)"
="",="0.0000",="0.0000",="0.0000",="0.0001",="0.0000"
="",="37.0742",="6.0959",="28.6574",="4.0412",="13.9649"
="Observations",="38118",="38118",="37793",="38087",="37762"
="R-squared",="0.2846",="0.2872",="0.4381",="0.2975",="0.4461"
="Adjusted R-squared",="0.2600",="0.2626",="0.4185",="0.2732",="0.4267"
="Cells: Coefficient (starred) | SE (parentheses) | p-value | t-statistic"
="*** p<0.01, ** p<0.05, * p<0.10"
="Sample: ALL WOMEN"
