
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Age of First Marriage",="Age of First Marriage",="Age of First Marriage",="Age of First Marriage",="Age of First Marriage"

="past_group",="2.039***",="0.475***",="2.315***",="1.034***",="0.973***"
="",="(0.117)",="(0.099)",="(0.120)",="(0.075)",="(0.076)"

="TC_noborder",="-1.042***",="-0.319***",="-1.061***",="-0.393***",="-0.376***"
="",="(0.116)",="(0.078)",="(0.125)",="(0.056)",="(0.055)"

="Poorest",="-3.437***",="-1.498***",="-2.660***",="-0.278***",="-0.301***"
="",="(0.108)",="(0.100)",="(0.114)",="(0.072)",="(0.074)"

="Poorer",="-2.777***",="-1.092***",="-2.137***",="-0.292***",="-0.312***"
="",="(0.107)",="(0.093)",="(0.111)",="(0.067)",="(0.068)"

="Middle",="-2.101***",="-0.876***",="-1.587***",="-0.259***",="-0.253***"
="",="(0.101)",="(0.088)",="(0.105)",="(0.062)",="(0.063)"

="Richer",="-1.169***",="-0.435***",="-0.814***",="-0.107*",="-0.096*"
="",="(0.093)",="(0.081)",="(0.093)",="(0.057)",="(0.058)"

="Respondent_work",="0.854***",="0.286***",="0.644***",="0.152***",="0.124**"
="",="(0.087)",="(0.071)",="(0.077)",="(0.051)",="(0.049)"

="no_edu",="",="-3.476***",="",="-2.081***",="-1.846***"
="",="",="(0.092)",="",="(0.071)",="(0.079)"

="primary_edu",="",="-3.343***",="",="-2.085***",="-1.844***"
="",="",="(0.105)",="",="(0.079)",="(0.081)"

="secondary_edu",="",="-2.009***",="",="-1.308***",="-1.148***"
="",="",="(0.071)",="",="(0.052)",="(0.058)"

="Res_age",="",="0.274***",="",="0.516***",="0.574***"
="",="",="(0.010)",="",="(0.008)",="(0.009)"

="Husband_work",="",="",="-0.163",="",="0.093"
="",="",="",="(0.231)",="",="(0.170)"

="Husband_no_education",="",="",="-1.869***",="",="-0.295***"
="",="",="",="(0.107)",="",="(0.079)"

="Husband_primary",="",="",="-1.738***",="",="-0.351***"
="",="",="",="(0.088)",="",="(0.069)"

="Husband_secondary",="",="",="-1.073***",="",="-0.198***"
="",="",="",="(0.072)",="",="(0.053)"

="Husband_age",="",="",="-0.080***",="",="-0.085***"
="",="",="",="(0.006)",="",="(0.005)"

="Birth_order_number",="",="",="",="-1.736***",="-1.675***"
="",="",="",="",="(0.023)",="(0.023)"

="Religion",="",="",="",="-0.107",="-0.109"
="",="",="",="",="(0.106)",="(0.102)"

="Constant",="21.890***",="15.157***",="25.506***",="11.330***",="12.455***"
="",="(0.088)",="(0.313)",="(0.326)",="(0.252)",="(0.313)"

="Observations",="38118",="38118",="37793",="38087",="37762"
="Adjusted R-squared",="0.267",="0.358",="0.299",="0.619",="0.632"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
