
="",="(1)",="(2)",="(3)"
="",="unskill_manual",="skill_manual",="agr_self_employed"

="past_group",="-0.172***",="-0.015",="-0.031"
="",="(0.013)",="(0.031)",="(0.025)"

="TC_noborder",="0.301***",="0.171***",="0.004"
="",="(0.012)",="(0.017)",="(0.028)"

="Poorest",="0.015",="0.013",="0.252***"
="",="(0.011)",="(0.015)",="(0.019)"

="Poorer",="0.010",="0.012",="0.208***"
="",="(0.010)",="(0.014)",="(0.019)"

="Middle",="0.014",="0.005",="0.148***"
="",="(0.010)",="(0.013)",="(0.017)"

="Richer",="0.006",="0.008",="0.077***"
="",="(0.008)",="(0.011)",="(0.012)"

="Respondent_work",="0.004",="0.023***",="0.061***"
="",="(0.005)",="(0.008)",="(0.008)"

="no_edu",="-0.009",="0.003",="0.028**"
="",="(0.009)",="(0.013)",="(0.013)"

="primary_edu",="-0.002",="0.013",="-0.015"
="",="(0.009)",="(0.014)",="(0.013)"

="secondary_edu",="-0.003",="0.008",="-0.009"
="",="(0.007)",="(0.010)",="(0.010)"

="Res_age",="-0.026***",="-0.001",="-0.023***"
="",="(0.001)",="(0.002)",="(0.003)"

="Husband_work",="-0.003",="0.007",="0.005"
="",="(0.017)",="(0.017)",="(0.018)"

="Husband_no_education",="-0.001",="0.000",="-0.034***"
="",="(0.008)",="(0.012)",="(0.012)"

="Husband_primary",="-0.001",="-0.001",="-0.029***"
="",="(0.008)",="(0.011)",="(0.011)"

="Husband_secondary",="-0.002",="0.008",="-0.014*"
="",="(0.006)",="(0.009)",="(0.008)"

="Husband_age",="-0.000",="-0.000",="0.001*"
="",="(0.000)",="(0.000)",="(0.000)"

="Birth_order_number",="0.003",="-0.001",="0.005**"
="",="(0.002)",="(0.002)",="(0.002)"

="Religion",="0.020*",="-0.039**",="-0.086***"
="",="(0.011)",="(0.016)",="(0.017)"

="Constant",="0.769***",="0.248***",="0.889***"
="",="(0.043)",="(0.057)",="(0.096)"

="Observations",="37762",="37762",="37762"
="Adjusted R-squared",="0.379",="0.181",="0.367"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
