
="",="(1)",="(2)",="(3)",="(4)"
="",="no_edu",="primary_edu",="secondary_edu",="postsecondaty_edu"

="past_group",="-0.005",="-0.001",="-0.010",="0.016*"
="",="(0.012)",="(0.009)",="(0.015)",="(0.009)"

="TC_noborder",="0.017",="0.016**",="-0.027**",="-0.006"
="",="(0.011)",="(0.007)",="(0.012)",="(0.007)"

="Respondent_work",="-0.023***",="-0.018***",="-0.091***",="0.132***"
="",="(0.007)",="(0.006)",="(0.013)",="(0.010)"

="Res_age",="-0.013***",="-0.003***",="0.003*",="0.013***"
="",="(0.001)",="(0.001)",="(0.002)",="(0.001)"

="Husband_work",="-0.048**",="-0.009",="0.043*",="0.013"
="",="(0.021)",="(0.019)",="(0.026)",="(0.017)"

="Husband_no_education",="0.518***",="0.082***",="-0.123***",="-0.477***"
="",="(0.011)",="(0.008)",="(0.015)",="(0.011)"

="Husband_primary",="0.282***",="0.211***",="-0.006",="-0.487***"
="",="(0.010)",="(0.009)",="(0.015)",="(0.011)"

="Husband_secondary",="0.102***",="0.059***",="0.276***",="-0.437***"
="",="(0.006)",="(0.004)",="(0.012)",="(0.011)"

="Husband_age",="-0.001***",="0.000",="0.003***",="-0.002***"
="",="(0.001)",="(0.000)",="(0.001)",="(0.000)"

="Birth_order_number",="0.040***",="0.013***",="-0.025***",="-0.027***"
="",="(0.002)",="(0.002)",="(0.003)",="(0.001)"

="Religion",="-0.008",="0.030***",="-0.009",="-0.013"
="",="(0.016)",="(0.011)",="(0.018)",="(0.010)"

="Constant",="0.451***",="0.037",="0.237***",="0.275***"
="",="(0.047)",="(0.034)",="(0.056)",="(0.032)"

="Observations",="37762",="37762",="37762",="37762"
="Adjusted R-squared",="0.333",="0.097",="0.233",="0.406"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
