="Panel A: Treatment Effect on Having Any Education - Teen Pregnancies"
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Spec 1",="Spec 2",="Spec 3",="Spec 4",="Spec 5"
="",="b/se/p/t",="b/se/p/t",="b/se/p/t",="b/se/p/t",="b/se/p/t"
="past_group",="0.0512*",="0.0280",="0.0396",="0.0432",="0.0361"
="",="(0.0220)",="(0.0231)",="(0.0207)",="(0.0232)",="(0.0217)"
="",="0.0199",="0.2254",="0.0566",="0.0629",="0.0962"
="",="2.3316",="1.2131",="1.9086",="1.8617",="1.6652"
="TC_noborder",="-0.0776***",="-0.0709***",="-0.0552***",="-0.0741***",="-0.0534***"
="",="(0.0176)",="(0.0176)",="(0.0156)",="(0.0173)",="(0.0155)"
="",="0.0000",="0.0001",="0.0004",="0.0000",="0.0006"
="",="-4.4219",="-4.0309",="-3.5417",="-4.2777",="-3.4367"
="Poorest",="-0.5081***",="-0.5052***",="-0.3656***",="-0.4841***",="-0.3490***"
="",="(0.0216)",="(0.0216)",="(0.0210)",="(0.0217)",="(0.0210)"
="",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000"
="",="-23.5019",="-23.3755",="-17.4187",="-22.3370",="-16.5929"
="Poorer",="-0.3611***",="-0.3580***",="-0.2570***",="-0.3437***",="-0.2455***"
="",="(0.0211)",="(0.0211)",="(0.0199)",="(0.0210)",="(0.0199)"
="",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000"
="",="-17.1466",="-16.9557",="-12.8843",="-16.3806",="-12.3554"
="Middle",="-0.2356***",="-0.2335***",="-0.1667***",="-0.2232***",="-0.1583***"
="",="(0.0214)",="(0.0213)",="(0.0199)",="(0.0210)",="(0.0196)"
="",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000"
="",="-10.9973",="-10.9596",="-8.3680",="-10.6314",="-8.0594"
="Richer",="-0.1246***",="-0.1237***",="-0.0769***",="-0.1184***",="-0.0729***"
="",="(0.0200)",="(0.0200)",="(0.0184)",="(0.0199)",="(0.0183)"
="",="0.0000",="0.0000",="0.0000",="0.0000",="0.0001"
="",="-6.2414",="-6.1817",="-4.1762",="-5.9613",="-3.9817"
="Respondent_work",="-0.0165",="-0.0175",="-0.0016",="-0.0154",="-0.0006"
="",="(0.0207)",="(0.0207)",="(0.0194)",="(0.0206)",="(0.0194)"
="",="0.4247",="0.3973",="0.9349",="0.4553",="0.9750"
="",="-0.7986",="-0.8469",="-0.0817",="-0.7469",="-0.0314"
="Res_age",="",="0.0049*",="",="0.0122***",="0.0093***"
="",="",="(0.0024)",="",="(0.0025)",="(0.0025)"
="",="",="0.0434",="",="0.0000",="0.0002"
="",="",="2.0227",="",="4.8486",="3.7654"
="Husband_work",="",="",="0.0411",="",="0.0447"
="",="",="",="(0.0406)",="",="(0.0400)"
="",="",="",="0.3117",="",="0.2637"
="",="",="",="1.0121",="",="1.1182"
="Husband_no_education",="",="",="-0.4271***",="",="-0.4233***"
="",="",="",="(0.0223)",="",="(0.0223)"
="",="",="",="0.0000",="",="0.0000"
="",="",="",="-19.1168",="",="-18.9712"
="Husband_primary",="",="",="-0.2690***",="",="-0.2666***"
="",="",="",="(0.0224)",="",="(0.0223)"
="",="",="",="0.0000",="",="0.0000"
="",="",="",="-12.0041",="",="-11.9366"
="Husband_secondary",="",="",="-0.1037***",="",="-0.1033***"
="",="",="",="(0.0183)",="",="(0.0182)"
="",="",="",="0.0000",="",="0.0000"
="",="",="",="-5.6713",="",="-5.6914"
="Husband_age",="",="",="0.0034***",="",="0.0031**"
="",="",="",="(0.0010)",="",="(0.0010)"
="",="",="",="0.0004",="",="0.0032"
="",="",="",="3.5562",="",="2.9539"
="Birth_order_number",="",="",="",="-0.0352***",="-0.0281***"
="",="",="",="",="(0.0052)",="(0.0049)"
="",="",="",="",="0.0000",="0.0000"
="",="",="",="",="-6.8175",="-5.7228"
="Religion",="",="",="",="-0.0375",="-0.0198"
="",="",="",="",="(0.0326)",="(0.0323)"
="",="",="",="",="0.2501",="0.5399"
="",="",="",="",="-1.1507",="-0.6132"
="_cons",="0.9818***",="0.8520***",="0.9238***",="0.7896***",="0.7816***"
="",="(0.0195)",="(0.0668)",="(0.0585)",="(0.0733)",="(0.0793)"
="",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000"
="",="50.2662",="12.7519",="15.8013",="10.7660",="9.8589"
="Observations",="13088",="13088",="12952",="13077",="12941"
="R-squared",="0.3660",="0.3666",="0.4286",="0.3712",="0.4318"
="Adjusted R-squared",="0.3079",="0.3084",="0.3753",="0.3133",="0.3786"
="Cells: Coefficient (starred) | SE (parentheses) | p-value | t-statistic"
="*** p<0.01, ** p<0.05, * p<0.10"
="Sample: Women with teenage pregnancy"
="Education controls excluded (education is outcome)"
