="Panel C: Treatment Effect on Secondary Education - Teen Pregnancies"
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Spec 1",="Spec 2",="Spec 3",="Spec 4",="Spec 5"
="",="b/se/p/t",="b/se/p/t",="b/se/p/t",="b/se/p/t",="b/se/p/t"
="past_group",="0.0469",="0.0405",="0.0375",="0.0541*",="0.0459"
="",="(0.0261)",="(0.0264)",="(0.0239)",="(0.0265)",="(0.0243)"
="",="0.0732",="0.1257",="0.1170",="0.0416",="0.0598"
="",="1.7937",="1.5324",="1.5688",="2.0404",="1.8847"
="TC_noborder",="-0.1293***",="-0.1275***",="-0.1066***",="-0.1310***",="-0.1087***"
="",="(0.0171)",="(0.0177)",="(0.0154)",="(0.0174)",="(0.0156)"
="",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000"
="",="-7.5703",="-7.2118",="-6.9032",="-7.5165",="-6.9473"
="Poorest",="-0.4549***",="-0.4541***",="-0.3176***",="-0.4355***",="-0.3043***"
="",="(0.0262)",="(0.0263)",="(0.0267)",="(0.0265)",="(0.0269)"
="",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000"
="",="-17.3319",="-17.2330",="-11.8852",="-16.4525",="-11.3185"
="Poorer",="-0.3567***",="-0.3559***",="-0.2516***",="-0.3432***",="-0.2428***"
="",="(0.0265)",="(0.0266)",="(0.0264)",="(0.0265)",="(0.0263)"
="",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000"
="",="-13.4519",="-13.3870",="-9.5381",="-12.9696",="-9.2278"
="Middle",="-0.1861***",="-0.1856***",="-0.1195***",="-0.1764***",="-0.1130***"
="",="(0.0286)",="(0.0286)",="(0.0278)",="(0.0284)",="(0.0277)"
="",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000"
="",="-6.5091",="-6.4903",="-4.3049",="-6.2027",="-4.0821"
="Richer",="-0.0885**",="-0.0882**",="-0.0425",="-0.0840**",="-0.0396"
="",="(0.0269)",="(0.0269)",="(0.0265)",="(0.0268)",="(0.0265)"
="",="0.0010",="0.0011",="0.1099",="0.0018",="0.1359"
="",="-3.2930",="-3.2848",="-1.6001",="-3.1322",="-1.4925"
="Respondent_work",="-0.0385*",="-0.0388*",="-0.0254",="-0.0365",="-0.0238"
="",="(0.0192)",="(0.0193)",="(0.0181)",="(0.0192)",="(0.0181)"
="",="0.0455",="0.0441",="0.1600",="0.0579",="0.1908"
="",="-2.0023",="-2.0153",="-1.4060",="-1.8986",="-1.3091"
="Res_age",="",="0.0013",="",="0.0078**",="0.0052"
="",="",="(0.0026)",="",="(0.0028)",="(0.0027)"
="",="",="0.6082",="",="0.0055",="0.0592"
="",="",="0.5128",="",="2.7829",="1.8887"
="Husband_work",="",="",="0.0138",="",="0.0191"
="",="",="",="(0.0412)",="",="(0.0412)"
="",="",="",="0.7369",="",="0.6428"
="",="",="",="0.3360",="",="0.4639"
="Husband_no_education",="",="",="-0.3951***",="",="-0.3907***"
="",="",="",="(0.0256)",="",="(0.0255)"
="",="",="",="0.0000",="",="0.0000"
="",="",="",="-15.4595",="",="-15.3515"
="Husband_primary",="",="",="-0.3716***",="",="-0.3681***"
="",="",="",="(0.0255)",="",="(0.0255)"
="",="",="",="0.0000",="",="0.0000"
="",="",="",="-14.5566",="",="-14.4190"
="Husband_secondary",="",="",="-0.1016***",="",="-0.1005***"
="",="",="",="(0.0224)",="",="(0.0224)"
="",="",="",="0.0000",="",="0.0000"
="",="",="",="-4.5316",="",="-4.4908"
="Husband_age",="",="",="0.0021*",="",="0.0023*"
="",="",="",="(0.0010)",="",="(0.0011)"
="",="",="",="0.0361",="",="0.0285"
="",="",="",="2.0990",="",="2.1935"
="Birth_order_number",="",="",="",="-0.0310***",="-0.0241***"
="",="",="",="",="(0.0049)",="(0.0047)"
="",="",="",="",="0.0000",="0.0000"
="",="",="",="",="-6.3080",="-5.1086"
="Religion",="",="",="",="-0.0695",="-0.0476"
="",="",="",="",="(0.0360)",="(0.0369)"
="",="",="",="",="0.0533",="0.1979"
="",="",="",="",="-1.9343",="-1.2884"
="_cons",="0.8144***",="0.7786***",="0.8421***",="0.7575***",="0.8017***"
="",="(0.0242)",="(0.0753)",="(0.0633)",="(0.0833)",="(0.0895)"
="",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000"
="",="33.6029",="10.3361",="13.2980",="9.0908",="8.9615"
="Observations",="13088",="13088",="12952",="13077",="12941"
="R-squared",="0.3758",="0.3758",="0.4397",="0.3792",="0.4417"
="Adjusted R-squared",="0.3185",="0.3185",="0.3875",="0.3220",="0.3895"
="Cells: Coefficient (starred) | SE (parentheses) | p-value | t-statistic"
="*** p<0.01, ** p<0.05, * p<0.10"
