="Panel D: Treatment Effect on Postsecondary Education - Teen Pregnancies"
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Spec 1",="Spec 2",="Spec 3",="Spec 4",="Spec 5"
="",="b/se/p/t",="b/se/p/t",="b/se/p/t",="b/se/p/t",="b/se/p/t"
="past_group",="-0.0055",="-0.0082",="-0.0069",="-0.0071",="-0.0076"
="",="(0.0058)",="(0.0059)",="(0.0059)",="(0.0059)",="(0.0058)"
="",="0.3418",="0.1631",="0.2389",="0.2257",="0.1903"
="",="-0.9510",="-1.3957",="-1.1785",="-1.2122",="-1.3107"
="TC_noborder",="0.0052",="0.0059",="0.0062",="0.0057",="0.0065"
="",="(0.0050)",="(0.0047)",="(0.0047)",="(0.0047)",="(0.0045)"
="",="0.3026",="0.2071",="0.1905",="0.2284",="0.1536"
="",="1.0314",="1.2624",="1.3099",="1.2052",="1.4280"
="Poorest",="-0.0784***",="-0.0781***",="-0.0648***",="-0.0765***",="-0.0634***"
="",="(0.0142)",="(0.0144)",="(0.0130)",="(0.0144)",="(0.0131)"
="",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000"
="",="-5.5127",="-5.4189",="-4.9942",="-5.3310",="-4.8563"
="Poorer",="-0.0780***",="-0.0777***",="-0.0654***",="-0.0767***",="-0.0644***"
="",="(0.0138)",="(0.0139)",="(0.0125)",="(0.0139)",="(0.0126)"
="",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000"
="",="-5.6709",="-5.5762",="-5.2473",="-5.5153",="-5.1289"
="Middle",="-0.0725***",="-0.0723***",="-0.0637***",="-0.0716***",="-0.0630***"
="",="(0.0138)",="(0.0139)",="(0.0126)",="(0.0139)",="(0.0127)"
="",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000"
="",="-5.2733",="-5.2088",="-5.0530",="-5.1670",="-4.9724"
="Richer",="-0.0584***",="-0.0583***",="-0.0520***",="-0.0579***",="-0.0518***"
="",="(0.0140)",="(0.0140)",="(0.0132)",="(0.0140)",="(0.0132)"
="",="0.0000",="0.0000",="0.0001",="0.0000",="0.0001"
="",="-4.1732",="-4.1478",="-3.9542",="-4.1248",="-3.9273"
="Respondent_work",="0.0094",="0.0093",="0.0090",="0.0095",="0.0091"
="",="(0.0051)",="(0.0051)",="(0.0050)",="(0.0051)",="(0.0050)"
="",="0.0645",="0.0680",="0.0714",="0.0658",="0.0715"
="",="1.8510",="1.8267",="1.8046",="1.8420",="1.8043"
="Res_age",="",="0.0006",="",="0.0011",="0.0009"
="",="",="(0.0007)",="",="(0.0007)",="(0.0008)"
="",="",="0.3921",="",="0.1155",="0.2399"
="",="",="0.8561",="",="1.5753",="1.1758"
="Husband_work",="",="",="0.0157*",="",="0.0161*"
="",="",="",="(0.0075)",="",="(0.0075)"
="",="",="",="0.0369",="",="0.0319"
="",="",="",="2.0900",="",="2.1485"
="Husband_no_education",="",="",="-0.0799***",="",="-0.0796***"
="",="",="",="(0.0139)",="",="(0.0138)"
="",="",="",="0.0000",="",="0.0000"
="",="",="",="-5.7624",="",="-5.7572"
="Husband_primary",="",="",="-0.0822***",="",="-0.0820***"
="",="",="",="(0.0139)",="",="(0.0139)"
="",="",="",="0.0000",="",="0.0000"
="",="",="",="-5.8943",="",="-5.8930"
="Husband_secondary",="",="",="-0.0757***",="",="-0.0757***"
="",="",="",="(0.0141)",="",="(0.0140)"
="",="",="",="0.0000",="",="0.0000"
="",="",="",="-5.3835",="",="-5.3880"
="Husband_age",="",="",="0.0003",="",="0.0002"
="",="",="",="(0.0002)",="",="(0.0002)"
="",="",="",="0.1828",="",="0.3365"
="",="",="",="1.3330",="",="0.9615"
="Birth_order_number",="",="",="",="-0.0028**",="-0.0025*"
="",="",="",="",="(0.0011)",="(0.0010)"
="",="",="",="",="0.0098",="0.0177"
="",="",="",="",="-2.5884",="-2.3752"
="Religion",="",="",="",="-0.0009",="-0.0008"
="",="",="",="",="(0.0067)",="(0.0065)"
="",="",="",="",="0.8943",="0.8966"
="",="",="",="",="-0.1330",="-0.1299"
="_cons",="0.0778***",="0.0627*",="0.1157***",="0.0560*",="0.1008***"
="",="(0.0120)",="(0.0244)",="(0.0204)",="(0.0246)",="(0.0283)"
="",="0.0000",="0.0102",="0.0000",="0.0229",="0.0004"
="",="6.4641",="2.5721",="5.6753",="2.2778",="3.5672"
="Observations",="13088",="13088",="12952",="13077",="12941"
="R-squared",="0.1977",="0.1978",="0.2237",="0.1985",="0.2243"
="Adjusted R-squared",="0.1241",="0.1242",="0.1514",="0.1247",="0.1517"
="Cells: Coefficient (starred) | SE (parentheses) | p-value | t-statistic"
="*** p<0.01, ** p<0.05, * p<0.10"
