
="",="(1)"
="",="Terminated_birth"

="past_group",="-0.040"
="",="(0.106)"

="TC_noborder",="-0.017"
="",="(0.072)"

="Poorest",="0.042"
="",="(0.062)"

="Poorer",="0.016"
="",="(0.058)"

="Middle",="0.060"
="",="(0.056)"

="Richer",="-0.002"
="",="(0.064)"

="Respondent_work",="0.017"
="",="(0.056)"

="no_edu",="-0.046"
="",="(0.090)"

="primary_edu",="0.026"
="",="(0.079)"

="secondary_edu",="-0.042"
="",="(0.085)"

="Res_age",="-0.012"
="",="(0.029)"

="Husband_work",="-0.076"
="",="(0.140)"

="Husband_no_education",="0.173**"
="",="(0.086)"

="Husband_primary",="0.094"
="",="(0.067)"

="Husband_secondary",="0.189**"
="",="(0.082)"

="Husband_age",="0.001"
="",="(0.002)"

="Birth_order_number",="-0.021"
="",="(0.015)"

="Religion",="-0.010"
="",="(0.120)"

="Constant",="0.236"
="",="(0.498)"

="Observations",="826"
="Adjusted R-squared",="0.161"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
